PP	verb	is.colloc	is.SVC	is.figur	freq	MI	Dice	z.score	t.score	chisq	chisq.corr	log.like	Fisher
um:Unterstützung	bitten	FALSE	FALSE	FALSE	85	2.20583	0.015798	116.121	9.1621	13513	13353	726.84	159.1
um:Verständnis	bitten	FALSE	FALSE	FALSE	120	2.14683	0.02198	128.795	10.8763	16624	16485	987.7	215.84
unter:Rufnummer	bitten	FALSE	FALSE	FALSE	39	1.21881	0.006698	23.871	5.8677	571	556	146.93	33.07
unter:Telefonnummer	bitten	FALSE	FALSE	FALSE	51	1.23993	0.008553	28.055	6.7304	789	773	196.96	43.99
von:Sachspende	bitten	FALSE	FALSE	FALSE	40	2.38908	0.007559	98.582	6.2987	9739	9496	385.34	84.72
von:Uhr	bitten	FALSE	FALSE	FALSE	34	0.22891	0.003364	3.109	2.3888	10	9	8.02	2.56
zu+:Kasse	bitten	TRUE	FALSE	TRUE	328	2.38428	0.058781	280.726	18.036	78980	78739	3158.77	687.42
an+:Ball	bleiben	TRUE	FALSE	TRUE	41	1.59633	0.002105	39.211	6.2409	1549	1511	234.74	52.09
an+:Dienstag	bleiben	FALSE	FALSE	FALSE	55	-0.30275	0.002065	-5.275	-7.4752	-28	-28	-34.49	0
an+:Donnerstag	bleiben	FALSE	FALSE	FALSE	46	-0.38594	0.001721	-6.227	-9.7114	-39	-39	-50.39	0
an+:Ende	bleiben	FALSE	FALSE	FALSE	116	0.39706	0.005167	10.194	6.4535	105	103	74.03	17.29
an+:Freitag	bleiben	FALSE	FALSE	FALSE	80	-0.16446	0.002957	-3.407	-4.1177	-12	-11	-13.19	0
an+:Mittwoch	bleiben	FALSE	FALSE	FALSE	57	-0.29178	0.002134	-5.168	-7.2317	-27	-27	-32.89	0
an+:Montag	bleiben	FALSE	FALSE	FALSE	57	-0.29804	0.002125	-5.283	-7.4462	-28	-28	-34.5	0
an+:Samstag	bleiben	FALSE	FALSE	FALSE	65	-0.26338	0.002389	-4.965	-6.7233	-25	-24	-29.84	0
an+:Sonntag	bleiben	FALSE	FALSE	FALSE	68	-0.211	0.002552	-4.046	-5.1584	-17	-16	-19.17	0
an+:Wochenende	bleiben	FALSE	FALSE	FALSE	46	-0.0308	0.002032	-0.481	-0.4984	0	0	-0.24	0.15
an:Spitze	bleiben	TRUE	FALSE	TRUE	38	0.33665	0.001849	4.899	3.3249	24	23	18.12	4.87
an:Stelle	bleiben	FALSE	FALSE	FALSE	33	0.10784	0.001565	1.43	1.2631	2	2	1.89	1.03
auf:Asyl	bleiben	FALSE	FALSE	FALSE	135	1.24655	0.006782	46.036	10.9604	2136	2119	537.76	118.18
auf:Boden	bleiben	TRUE	FALSE	TRUE	32	0.42994	0.001585	5.832	3.5549	34	33	23.41	6.05
auf:Dach	bleiben	FALSE	FALSE	FALSE	36	0.89307	0.001827	14.63	5.2325	216	209	86.97	20
auf:Dauer	bleiben	FALSE	FALSE	FALSE	32	0.51131	0.001596	7.051	3.914	50	48	31.46	7.83
auf:Fall	bleiben	FALSE	FALSE	FALSE	42	0.33601	0.002031	5.14	3.4911	27	25	19.96	5.29
auf:Ferse	bleiben	TRUE	FALSE	TRUE	38	1.71459	0.001953	43.524	6.0455	1909	1858	242.52	53.74
auf:Platz	bleiben	FALSE	FALSE	FALSE	54	0.15654	0.002469	2.663	2.2239	7	7	6.31	2.16
auf:Seite	bleiben	FALSE	FALSE	FALSE	38	-0.07332	0.0017	-1.042	-1.1338	-1	-1	-1.16	0.06
auf:Straße	bleiben	FALSE	FALSE	FALSE	37	-0.01732	0.001687	-0.243	-0.2475	0	0	-0.06	0.21
auf:Strecke	bleiben	TRUE	FALSE	TRUE	292	1.44829	0.014537	87.314	16.4793	7684	7657	1449.62	316.35
auf:Weg	bleiben	FALSE	FALSE	FALSE	47	0.11121	0.002157	1.76	1.5487	3	3	2.86	1.3
aus:Gründen	bleiben	FALSE	FALSE	FALSE	43	0.17214	0.002019	2.616	2.1459	7	6	6	2.08
bis:Uhr	bleiben	FALSE	FALSE	FALSE	39	0.44097	0.001918	6.617	3.9827	44	42	29.81	7.48
für:Jahr	bleiben	FALSE	FALSE	FALSE	54	0.23839	0.002518	4.084	3.1042	17	16	13.8	3.91
für:Kind	bleiben	FALSE	FALSE	FALSE	38	-0.06851	0.001703	-0.973	-1.0533	-1	-1	-1.01	0.07
hinter:Erwartung	bleiben	FALSE	FALSE	FALSE	30	1.49729	0.001541	29.728	5.3029	891	860	156.19	34.99
in+:Amt	bleiben	FALSE	FALSE	FALSE	167	1.21562	0.00832	49.192	12.1363	2439	2424	641.26	140.71
in+:Bereich	bleiben	FALSE	FALSE	FALSE	30	0.02588	0.001411	0.326	0.3169	0	0	0.11	0.4
in+:Gegensatz	bleiben	FALSE	FALSE	FALSE	31	0.2019	0.001499	2.612	2.0701	7	6	5.83	2.03
in+:Gespräch	bleiben	TRUE	TRUE	FALSE	39	0.32667	0.001892	4.809	3.3015	23	22	17.62	4.76
in+:Haus	bleiben	FALSE	FALSE	FALSE	30	-0.01688	0.001399	-0.213	-0.2171	0	0	-0.05	0.22
in+:Jahr	bleiben	FALSE	FALSE	FALSE	116	-0.04776	0.00416	-1.185	-1.252	-1	-1	-1.47	0.05
in+:Krankenhaus	bleiben	FALSE	FALSE	FALSE	32	0.42275	0.001584	5.726	3.5198	33	31	22.74	5.9
in+:Land	bleiben	FALSE	FALSE	FALSE	48	0.33878	0.002303	5.543	3.7525	31	30	23.15	6.01
in+:Parlament	bleiben	FALSE	FALSE	FALSE	37	0.27316	0.001788	3.889	2.8398	15	14	12.12	3.51
in+:Rahmen	bleiben	FALSE	FALSE	FALSE	54	0.14791	0.002463	2.515	2.121	6	6	5.66	2.01
in+:Spiel	bleiben	TRUE	TRUE	FALSE	51	0.52449	0.0025	9.158	5.0069	85	82	52.35	12.47
in+:Weste	bleiben	FALSE	FALSE	FALSE	31	0.13539	0.001484	1.743	1.4913	3	3	2.75	1.26
in:Bonn	bleiben	FALSE	FALSE	FALSE	30	-0.15592	0.00135	-1.977	-2.3657	-4	-4	-4.41	0.01
in:Bundesrepublik	bleiben	FALSE	FALSE	FALSE	31	0.15773	0.001489	2.033	1.6956	4	4	3.67	1.5
in:Deutschland	bleiben	FALSE	FALSE	FALSE	91	0.08203	0.003739	1.804	1.6418	3	3	3.08	1.37
in:Erinnerung	bleiben	TRUE	TRUE	FALSE	39	0.92639	0.001979	15.994	5.5052	258	250	99.66	22.77
in:Form	bleiben	FALSE	FALSE	FALSE	30	0.04251	0.001416	0.536	0.5107	0	0	0.28	0.49
in:Frankfurt	bleiben	FALSE	FALSE	FALSE	139	0.16514	0.005424	4.51	3.7292	21	20	17.98	4.9
in:Haft	bleiben	FALSE	FALSE	FALSE	41	1.17598	0.002093	23.143	5.9761	540	526	149.82	33.69
in:Hand	bleiben	FALSE	FALSE	FALSE	51	0.26355	0.002403	4.401	3.2489	20	19	15.66	4.33
in:Hessen	bleiben	FALSE	FALSE	FALSE	33	0.15286	0.001577	2.032	1.7045	4	4	3.68	1.5
in:Jahr	bleiben	FALSE	FALSE	FALSE	125	-0.10725	0.004183	-2.768	-3.132	-8	-8	-8.38	0
in:Kraft	bleiben	TRUE	TRUE	FALSE	30	0.41093	0.001487	5.378	3.3509	29	28	20.3	5.34
in:Land	bleiben	FALSE	FALSE	FALSE	45	0.00321	0.002015	0.05	0.0494	0	0	0	0.3
in:Minute	bleiben	FALSE	FALSE	FALSE	32	0.02137	0.001495	0.278	0.2716	0	0	0.08	0.38
in:Richtung	bleiben	FALSE	FALSE	FALSE	40	-0.00873	0.001812	-0.127	-0.1283	0	0	-0.02	0.24
in:Stadt	bleiben	FALSE	FALSE	FALSE	60	0.05262	0.002622	0.939	0.8839	1	1	0.85	0.72
in:Woche	bleiben	FALSE	FALSE	FALSE	48	-0.0692	0.002079	-1.105	-1.1968	-1	-1	-1.3	0.05
in:Wohnung	bleiben	FALSE	FALSE	FALSE	45	0.34038	0.002169	5.393	3.6446	29	28	21.88	5.73
in:Zeit	bleiben	FALSE	FALSE	FALSE	54	-0.01764	0.002339	-0.298	-0.3046	0	0	-0.09	0.2
in:Zukunft	bleiben	FALSE	FALSE	FALSE	66	0.29894	0.003059	5.703	4.0424	33	32	25.46	6.55
mit:Prozent	bleiben	FALSE	FALSE	FALSE	64	0.59325	0.003126	11.798	5.959	140	137	80.64	18.69
nach:Angabe	bleiben	FALSE	FALSE	FALSE	56	-0.17371	0.002251	-3.013	-3.6802	-9	-9	-10.37	0
nach:Jahr	bleiben	FALSE	FALSE	FALSE	36	0.22825	0.001731	3.19	2.4526	10	10	8.49	2.67
ohne:Erfolg	bleiben	TRUE	TRUE	FALSE	61	1.44151	0.00312	39.575	7.5277	1578	1552	300.42	66.46
ohne:Folge	bleiben	TRUE	TRUE	FALSE	79	1.79986	0.004054	69.471	8.7473	4864	4801	544.54	119.45
seit:Jahr	bleiben	FALSE	FALSE	FALSE	51	-0.24141	0.002022	-4.021	-5.3094	-16	-16	-19.3	0
um:Prozent	bleiben	FALSE	FALSE	FALSE	34	-0.07621	0.001541	-1.024	-1.1184	-1	-1	-1.12	0.06
um:Uhr	bleiben	FALSE	FALSE	FALSE	33	-0.78266	0.001015	-11.811	-29.0822	-141	-140	-216.99	0
unter:Möglichkeit	bleiben	FALSE	FALSE	FALSE	43	1.80607	0.002211	51.633	6.455	2687	2623	298.02	65.78
unterhalb:Grenzwert	bleiben	FALSE	FALSE	FALSE	31	1.32289	0.00159	24.32	5.303	596	576	134.63	30.33
von:Mark	bleiben	FALSE	FALSE	FALSE	122	0.03034	0.004543	0.772	0.7454	1	1	0.59	0.64
von:Prozent	bleiben	FALSE	FALSE	FALSE	48	0.12026	0.002203	1.925	1.6758	4	3	3.4	1.44
von:Uhr	bleiben	FALSE	FALSE	FALSE	46	-0.20738	0.001896	-3.269	-4.1512	-11	-10	-12.48	0
vor:Jahr	bleiben	FALSE	FALSE	FALSE	53	-0.19415	0.002134	-3.282	-4.1038	-11	-11	-12.47	0
zu+:Beispiel	bleiben	FALSE	FALSE	FALSE	49	-0.00296	0.002165	-0.048	-0.0478	0	0	0	0.27
zu+:Ende	bleiben	FALSE	FALSE	FALSE	32	0.53303	0.001598	7.387	3.999	55	53	33.74	8.33
zu:Haus	bleiben	FALSE	FALSE	FALSE	215	0.87065	0.010093	34.571	12.6879	1205	1199	500.21	110.11
in:Zukunft	blicken	TRUE	FALSE	TRUE	83	1.68902	0.026224	62.383	8.924	3897	3849	487.9	107.28
in:Jahr	brauchen	FALSE	FALSE	FALSE	35	0.00376	0.002383	0.051	0.051	0	0	0	0.3
unter:Nagel	brennen	TRUE	FALSE	TRUE	30	3.00461	0.040188	173.954	5.4718	30269	29267	364.94	80.31
an+:Dienstag	bringen	FALSE	FALSE	FALSE	66	-0.20465	0.002557	-3.864	-4.8902	-15	-15	-17.41	0
an+:Donnerstag	bringen	FALSE	FALSE	FALSE	53	-0.3055	0.002046	-5.227	-7.4306	-28	-27	-33.91	0
an+:Freitag	bringen	FALSE	FALSE	FALSE	86	-0.11413	0.003279	-2.444	-2.7873	-6	-6	-6.56	0
an+:Licht	bringen	TRUE	FALSE	TRUE	39	1.44604	0.002088	31.821	6.0214	1020	993	192.55	42.94
an+:Mittwoch	bringen	FALSE	FALSE	FALSE	74	-0.1595	0.002859	-3.177	-3.8175	-10	-10	-11.43	0
an+:Montag	bringen	FALSE	FALSE	FALSE	75	-0.15993	0.002886	-3.207	-3.8555	-10	-10	-11.65	0
an+:Samstag	bringen	FALSE	FALSE	FALSE	73	-0.19405	0.002767	-3.849	-4.8129	-15	-15	-17.16	0
an+:Sonntag	bringen	FALSE	FALSE	FALSE	66	-0.20504	0.002557	-3.871	-4.9019	-15	-15	-17.48	0
an+:Wochenende	bringen	FALSE	FALSE	FALSE	47	-0.00253	0.002155	-0.04	-0.0401	0	0	0	0.27
an:Mann	bringen	TRUE	FALSE	TRUE	80	1.60613	0.004275	55.426	8.7227	3095	3055	461.05	101.38
an:Rand	bringen	FALSE	FALSE	FALSE	34	1.05154	0.00181	17.829	5.3131	320	310	105.11	23.94
an:Tag	bringen	FALSE	FALSE	FALSE	38	0.46757	0.001952	6.962	4.0639	49	47	32.1	7.98
auf:Bein	bringen	TRUE	FALSE	TRUE	43	0.90496	0.00227	16.274	5.7413	267	260	105.93	24.15
auf:Bühne	bringen	TRUE	FALSE	TRUE	125	0.81962	0.00629	24.374	9.4866	599	593	264.42	58.79
auf:Formel	bringen	FALSE	FALSE	FALSE	41	1.73176	0.002201	46.147	6.2844	2145	2092	264.79	58.59
auf:Idee	bringen	TRUE	TRUE	FALSE	30	0.79755	0.001587	11.533	4.6042	134	129	60.76	14.25
auf:Kurs	bringen	FALSE	FALSE	FALSE	35	1.25356	0.00187	23.653	5.5861	564	547	140.29	31.58
auf:Markt	bringen	TRUE	TRUE	FALSE	117	0.99254	0.006033	30.463	9.7162	935	926	331.88	73.44
auf:Nenner	bringen	TRUE	TRUE	FALSE	74	1.69137	0.003961	59.071	8.4272	3515	3467	460.97	101.33
auf:Palme	bringen	TRUE	FALSE	TRUE	48	1.77982	0.002576	52.876	6.8132	2817	2757	323.56	71.37
auf:Platz	bringen	FALSE	FALSE	FALSE	32	-0.05178	0.001521	-0.675	-0.7163	0	0	-0.48	0.11
auf:Punkt	bringen	TRUE	FALSE	TRUE	229	1.50417	0.012009	82.829	14.6588	6913	6881	1198.83	261.83
auf:Stand	bringen	TRUE	TRUE	FALSE	76	1.33739	0.004039	38.785	8.3169	1515	1495	334.9	74.01
auf:Straße	bringen	TRUE	FALSE	TRUE	32	-0.06145	0.001517	-0.801	-0.8597	-1	-1	-0.68	0.09
auf:Tisch	bringen	FALSE	FALSE	FALSE	30	0.4273	0.001551	5.609	3.4296	32	30	21.71	5.66
auf:Trab	bringen	TRUE	TRUE	FALSE	57	1.61542	0.003053	47.314	7.3668	2255	2215	331.3	73.13
auf:Vordermann	bringen	TRUE	FALSE	TRUE	70	1.79926	0.003752	65.348	8.2338	4302	4240	480.13	105.44
auf:Waage	bringen	FALSE	FALSE	FALSE	42	1.73395	0.002254	46.829	6.3612	2209	2156	271.78	60.11
auf:Weg	bringen	TRUE	FALSE	TRUE	304	0.94091	0.014503	45.608	15.4379	2097	2090	796.5	174.53
aus:Konzept	bringen	FALSE	FALSE	FALSE	37	1.59027	0.001985	36.977	5.9265	1377	1339	210.07	46.72
aus:Ruhe	bringen	TRUE	TRUE	FALSE	45	1.70286	0.002414	46.703	6.5752	2197	2148	283.2	62.62
für:Kind	bringen	FALSE	FALSE	FALSE	44	0.01409	0.002047	0.215	0.2117	0	0	0.05	0.36
für:Mark	bringen	FALSE	FALSE	FALSE	33	0.041	0.001599	0.542	0.5175	0	0	0.29	0.5
in+:Gespräch	bringen	TRUE	TRUE	FALSE	154	0.94205	0.007785	32.515	10.9916	1066	1058	403.74	89.1
in+:Haus	bringen	FALSE	FALSE	FALSE	37	0.09312	0.001794	1.307	1.1739	2	1	1.6	0.95
in+:Jahr	bringen	FALSE	FALSE	FALSE	108	-0.05987	0.003992	-1.434	-1.536	-2	-2	-2.17	0.03
in+:Krankenhaus	bringen	FALSE	FALSE	FALSE	285	1.39137	0.014713	80.372	16.1964	6509	6485	1331.92	290.79
in+:Parlament	bringen	FALSE	FALSE	FALSE	30	0.201	0.00151	2.558	2.0293	7	6	5.59	1.97
in+:Rolle	bringen	TRUE	TRUE	FALSE	69	1.66736	0.003694	55.419	8.1279	3094	3048	420.59	92.55
in+:Spiel	bringen	TRUE	TRUE	FALSE	133	0.9597	0.006794	30.996	10.2672	968	960	358.59	79.27
in+:Wanken	bringen	TRUE	TRUE	FALSE	36	1.4722	0.001929	31.576	5.7977	1004	976	182.45	40.73
in:Bedrängnis	bringen	TRUE	TRUE	FALSE	38	1.44628	0.002035	31.42	5.9438	995	968	187.66	41.88
in:Deutschland	bringen	FALSE	FALSE	FALSE	42	-0.23484	0.001786	-3.547	-4.6485	-13	-12	-14.95	0
in:Diskussion	bringen	FALSE	FALSE	FALSE	44	0.75008	0.002302	12.934	5.4539	169	164	80.91	18.7
in:Einklang	bringen	TRUE	TRUE	FALSE	103	1.78712	0.00551	78.132	9.9832	6150	6089	698.98	153.05
in:Erfahrung	bringen	TRUE	TRUE	FALSE	54	1.667	0.002894	49.006	7.1903	2419	2374	329.03	72.62
in:Form	bringen	FALSE	FALSE	FALSE	47	0.25641	0.002309	4.107	3.0569	17	16	13.72	3.89
in:Frankfurt	bringen	FALSE	FALSE	FALSE	41	-0.34617	0.001653	-5.24	-7.8058	-28	-27	-34.87	0
in:Front	bringen	FALSE	FALSE	FALSE	48	1.45552	0.002568	35.718	6.6855	1285	1258	239.27	53.13
in:Führung	bringen	TRUE	TRUE	FALSE	183	1.32109	0.009543	58.956	12.8819	3502	3482	792.6	173.59
in:Gang	bringen	TRUE	TRUE	FALSE	111	1.18046	0.005818	38.304	9.8403	1478	1464	407.57	89.87
in:Gefahr	bringen	TRUE	TRUE	FALSE	63	1.05453	0.003323	24.369	7.2372	598	588	195.64	43.73
in:Gewalt	bringen	TRUE	TRUE	FALSE	49	1.54974	0.002624	40.508	6.8026	1653	1619	267.79	59.32
in:Jahr	bringen	FALSE	FALSE	FALSE	98	-0.19401	0.003373	-4.459	-5.5754	-20	-20	-23.06	0
in:Kasse	bringen	FALSE	FALSE	FALSE	52	1.01569	0.002748	20.98	6.5156	443	434	152.64	34.34
in:Klinik	bringen	FALSE	FALSE	FALSE	51	0.98624	0.002693	19.934	6.4043	400	392	143.21	32.29
in:Krankenhaus	bringen	FALSE	FALSE	FALSE	188	1.45448	0.009879	70.598	13.2298	5022	4994	936.81	204.9
in:Land	bringen	FALSE	FALSE	FALSE	38	-0.05129	0.001767	-0.728	-0.7728	-1	0	-0.56	0.1
in:Minute	bringen	FALSE	FALSE	FALSE	79	0.43277	0.00384	9.228	5.6069	86	84	58.47	13.85
in:Mißkredit	bringen	TRUE	TRUE	FALSE	41	1.74019	0.002201	46.614	6.2867	2189	2135	266.79	59.02
in:Monat	bringen	FALSE	FALSE	FALSE	40	0.22873	0.001981	3.37	2.5895	11	11	9.47	2.9
in:Ordnung	bringen	TRUE	TRUE	FALSE	92	1.12898	0.00483	32.573	8.879	1069	1056	316.26	70
in:Rage	bringen	TRUE	TRUE	FALSE	40	1.68116	0.002146	42.901	6.1928	1854	1807	246.85	54.7
in:Schwierigkeit	bringen	TRUE	TRUE	FALSE	32	1.22286	0.00171	21.737	5.3182	476	460	123.68	27.96
in:Schwung	bringen	TRUE	TRUE	FALSE	52	1.46462	0.002781	37.597	6.9637	1424	1396	261.58	58
in:Sicherheit	bringen	TRUE	TRUE	FALSE	175	1.75683	0.009314	98.235	12.9972	9722	9665	1156.36	252.5
in:Stadt	bringen	FALSE	FALSE	FALSE	65	0.10631	0.002947	1.978	1.7506	4	4	3.63	1.5
in:Stimmung	bringen	TRUE	TRUE	FALSE	33	1.37349	0.001767	26.744	5.5015	721	698	151.14	33.92
in:Umlauf	bringen	TRUE	TRUE	FALSE	35	1.68444	0.001879	40.288	5.7937	1635	1588	216.63	48.11
in:Verbindung	bringen	TRUE	TRUE	FALSE	138	1.21936	0.007207	44.935	11.0385	2035	2019	531.51	116.83
in:Verlegenheit	bringen	TRUE	TRUE	FALSE	75	1.74625	0.004017	63.503	8.5049	4062	4008	490.74	107.78
in:Woche	bringen	FALSE	FALSE	FALSE	48	-0.05028	0.002156	-0.803	-0.8504	-1	-1	-0.67	0.09
in:Wohnung	bringen	FALSE	FALSE	FALSE	31	0.19745	0.001556	2.553	2.0341	7	6	5.59	1.97
in:Zeit	bringen	FALSE	FALSE	FALSE	36	-0.1748	0.001617	-2.431	-2.9734	-6	-6	-6.75	0
in:Zusammenhang	bringen	TRUE	TRUE	FALSE	67	0.65975	0.003422	13.665	6.3936	188	185	100.36	23
mit:Hilfe	bringen	FALSE	FALSE	FALSE	32	0.16782	0.001595	2.199	1.8131	5	4	4.26	1.64
mit:Verletzung	bringen	FALSE	FALSE	FALSE	62	1.49865	0.003313	42.807	7.6242	1846	1815	322.57	71.27
nach:Angabe	bringen	FALSE	FALSE	FALSE	77	-0.01648	0.003202	-0.333	-0.3394	0	0	-0.11	0.19
nach:Ansicht	bringen	FALSE	FALSE	FALSE	38	0.08709	0.001835	1.238	1.1202	2	1	1.44	0.9
nach:Deutschland	bringen	FALSE	FALSE	FALSE	41	0.52633	0.002112	8.244	4.4974	68	66	42.31	10.24
nach:Frankfurt	bringen	FALSE	FALSE	FALSE	35	0.45167	0.001802	6.434	3.8251	42	40	27.86	7.04
nach:Haus	bringen	FALSE	FALSE	FALSE	90	0.76004	0.004581	18.804	7.8384	356	352	169.07	38
nach:Minute	bringen	FALSE	FALSE	FALSE	49	0.60479	0.002524	10.555	5.261	112	109	63.68	14.95
seit:Jahr	bringen	FALSE	FALSE	FALSE	46	-0.2673	0.001885	-4.241	-5.7687	-18	-18	-21.8	0
um:Uhr	bringen	FALSE	FALSE	FALSE	72	-0.42491	0.002273	-8.637	-14.0872	-76	-75	-99.12	0
unter+:Volk	bringen	TRUE	FALSE	TRUE	36	1.70108	0.001933	41.683	5.8806	1750	1701	226.19	50.19
unter:Dach	bringen	TRUE	FALSE	TRUE	86	1.15195	0.004528	32.47	8.62	1062	1049	304.55	67.45
unter:Hut	bringen	TRUE	FALSE	TRUE	91	1.67675	0.004864	64.366	9.3386	4174	4127	559.48	122.77
unter:Kontrolle	bringen	TRUE	TRUE	FALSE	123	1.46099	0.006518	57.565	10.7069	3338	3310	616.72	135.3
unter:Leute	bringen	TRUE	FALSE	TRUE	38	1.50896	0.002037	33.94	5.9735	1160	1129	199.68	44.48
von:Jahr	bringen	FALSE	FALSE	FALSE	30	-0.00345	0.001453	-0.044	-0.0437	0	0	0	0.27
von:Mark	bringen	FALSE	FALSE	FALSE	101	-0.03277	0.003881	-0.759	-0.7877	-1	-1	-0.6	0.1
vor:Gericht	bringen	FALSE	FALSE	FALSE	36	0.38056	0.001836	5.427	3.502	30	28	21.3	5.58
vor:Jahr	bringen	FALSE	FALSE	FALSE	68	-0.06699	0.002833	-1.273	-1.3754	-2	-1	-1.72	0.04
zu+:Abschluß	bringen	TRUE	TRUE	FALSE	31	0.57199	0.001619	7.875	4.076	62	60	36.74	8.99
zu+:Ausdruck	bringen	TRUE	TRUE	FALSE	234	1.64669	0.012355	99.55	14.952	9985	9941	1400.76	305.66
zu+:Behandlung	bringen	FALSE	FALSE	FALSE	57	1.467	0.003046	39.479	7.2922	1570	1542	287.42	63.63
zu+:Geltung	bringen	TRUE	TRUE	FALSE	37	1.28425	0.001978	25.296	5.7666	645	626	153.64	34.49
zu+:Lache	bringen	TRUE	TRUE	FALSE	31	1.61034	0.001664	34.679	5.4312	1211	1172	179.31	40
zu+:Mal	bringen	FALSE	FALSE	FALSE	32	-0.04324	0.001524	-0.563	-0.5922	0	0	-0.33	0.13
zu+:Schweigen	bringen	TRUE	TRUE	FALSE	35	1.71159	0.001879	41.621	5.8011	1745	1695	221.99	49.27
zu+:Sprache	bringen	TRUE	TRUE	FALSE	56	1.27567	0.002982	30.78	7.0866	954	937	230.3	51.23
zu+:Teil	bringen	FALSE	FALSE	FALSE	32	0.07319	0.001567	0.954	0.8773	1	1	0.87	0.72
zu+:Verzweiflung	bringen	TRUE	TRUE	FALSE	33	1.74604	0.001772	42.112	5.6415	1787	1732	215.85	47.91
zu+:Welt	bringen	TRUE	FALSE	TRUE	67	1.39623	0.003571	39.206	7.8566	1549	1525	314.35	69.51
zu+:Überlaufen	bringen	TRUE	TRUE	FALSE	42	1.92675	0.002257	58.861	6.404	3490	3407	323.1	71.16
zu:Ende	bringen	TRUE	TRUE	FALSE	56	0.67147	0.002887	12.758	5.8888	164	160	86.29	19.91
zu:Fall	bringen	TRUE	TRUE	FALSE	98	1.56973	0.005224	58.697	9.6329	3471	3435	545.94	119.87
zu:Gehör	bringen	TRUE	TRUE	FALSE	74	1.84387	0.003968	70.841	8.4791	5056	4986	528.15	115.86
zu:Papier	bringen	TRUE	FALSE	TRUE	84	1.80987	0.0045	72.492	9.0232	5294	5230	581.65	127.52
über:Bühne	bringen	TRUE	FALSE	TRUE	89	0.99373	0.004636	26.613	8.4769	714	705	252.86	56.22
über:Runde	bringen	FALSE	FALSE	FALSE	39	1.16956	0.002079	22.381	5.8224	505	491	141.19	31.8
für:Kind	dachen	FALSE	FALSE	FALSE	56	1.18671	0.012439	27.431	6.9965	754	739	202.67	45.25
für:Arbeit	danken	FALSE	FALSE	FALSE	30	1.89524	0.021149	47.931	5.4075	2299	2222	203.89	45.4
für:Engagement	danken	FALSE	FALSE	FALSE	31	2.53974	0.040103	103.346	5.5517	10684	10341	304.08	67.15
mit:Hand	dastehen	FALSE	FALSE	FALSE	38	2.41239	0.042458	98.72	6.1406	9749	9493	349.94	77.16
bis:Uhr	dauern	FALSE	FALSE	FALSE	50	1.55193	0.017532	41.029	6.8727	1685	1651	262.06	58.13
um:Uhr	dauern	FALSE	FALSE	FALSE	70	0.54698	0.004659	11.248	5.9921	127	125	76.81	17.86
von:Uhr	dauern	FALSE	FALSE	FALSE	130	1.24686	0.019168	45.194	10.7559	2048	2031	506.7	111.45
mit:Auge	davonkommen	TRUE	FALSE	TRUE	32	2.32067	0.033684	81.439	5.6298	6635	6428	280.81	62.11
mit:Schreck	davonkommen	FALSE	FALSE	FALSE	43	3.39695	0.115747	327.368	6.5548	107185	104706	603.9	132.26
mit:Verletzung	davonkommen	FALSE	FALSE	FALSE	31	2.99241	0.071676	174.359	5.5621	30406	29432	370.61	81.58
von:Mark	decken	FALSE	FALSE	FALSE	38	0.88459	0.004582	14.842	5.3603	221	214	89.44	20.55
an+:Mittwoch	demonstrieren	FALSE	FALSE	FALSE	31	0.433	0.003335	5.784	3.5134	34	32	22.82	5.91
an+:Samstag	demonstrieren	FALSE	FALSE	FALSE	80	0.8161	0.008169	19.392	7.5783	377	372	166.56	37.44
an+:Sonntag	demonstrieren	FALSE	FALSE	FALSE	37	0.514	0.00401	7.627	4.2202	58	56	36.45	8.95
gegen:Ausländerfeindlichkeit	demonstrieren	FALSE	FALSE	FALSE	65	1.99347	0.026965	79.206	7.9804	6280	6182	474.13	104.24
gegen:Rassismus	demonstrieren	FALSE	FALSE	FALSE	35	1.95672	0.015653	55.664	5.8507	3101	3012	248.95	55.21
in:Jahr	denken	FALSE	FALSE	FALSE	32	0.05598	0.002304	0.73	0.6841	1	0	0.51	0.59
in:Stadt	denken	FALSE	FALSE	FALSE	42	0.65271	0.006094	10.683	5.0389	114	111	61.24	14.4
als:Grundlage	dienen	FALSE	FALSE	FALSE	61	2.28732	0.020619	108.163	7.7699	11713	11521	535.85	117.59
als:Vorbild	dienen	FALSE	FALSE	FALSE	42	2.15531	0.014242	76.954	6.4354	5929	5788	340.72	75.16
ab:Uhr	diskutieren	FALSE	FALSE	FALSE	103	0.88051	0.012397	24.286	8.8126	592	585	240.72	53.61
an+:Dienstag	diskutieren	FALSE	FALSE	FALSE	69	0.48253	0.006149	9.711	5.572	95	93	61.18	14.43
an+:Donnerstag	diskutieren	FALSE	FALSE	FALSE	100	0.6381	0.008837	16.051	7.6991	259	255	141.03	31.91
an+:Freitag	diskutieren	FALSE	FALSE	FALSE	66	0.43879	0.00567	8.562	5.1662	74	72	49.76	11.92
an+:Mittwoch	diskutieren	FALSE	FALSE	FALSE	74	0.50837	0.00655	10.654	5.934	114	112	71.66	16.74
an+:Montag	diskutieren	FALSE	FALSE	FALSE	54	0.36528	0.004735	6.365	4.1795	41	39	29.59	7.46
in+:Bürgerhaus	diskutieren	FALSE	FALSE	FALSE	54	0.92743	0.008966	18.849	6.48	356	349	136.24	30.79
