id	word1	pos1	word2	pos2	O11	O12	O21	O22
2809	are	V	likely	J	15	4263	113	905377
2810	are	V	listed	G	6	4272	26	905464
2811	are	V	located	G	7	4271	47	905443
2812	are	V	made	G	31	4247	607	904883
2813	are	V	many	J	27	4251	806	904684
2814	are	V	more	J	9	4269	738	904752
2815	are	V	more	R	33	4245	1222	904268
2816	are	V	most	R	14	4264	631	904859
2817	are	V	mostly	R	6	4272	20	905470
2818	are	V	much	R	14	4264	501	904989
2819	are	V	necessary	J	9	4269	210	905280
2820	are	V	needed	G	12	4266	110	905380
2821	are	V	neither	D	6	4272	24	905466
2822	are	V	never	R	10	4268	608	904882
2823	are	V	no	D	16	4262	1340	904150
2824	are	V	no	R	17	4261	186	905304
2825	are	V	not	R	201	4077	4142	901348
2826	are	V	now	R	47	4231	895	904595
2827	are	V	obviously	R	6	4272	69	905421
2828	are	V	of	I	43	4235	35456	870034
2829	are	V	often	R	23	4255	305	905185
2830	are	V	on	I	22	4256	5773	899717
2831	are	V	one	C	5	4273	2000	903490
2832	are	V	only	R	18	4260	1146	904344
2833	are	V	other	J	19	4259	1563	903927
2834	are	V	paid	G	5	4273	89	905401
2835	are	V	planned	G	5	4273	46	905444
2836	are	V	present	J	6	4272	214	905276
2837	are	V	presented	G	8	4270	53	905437
2838	are	V	primarily	R	5	4273	51	905439
2839	are	V	probably	R	6	4272	199	905291
2840	are	V	protected	G	5	4273	16	905474
2841	are	V	provided	G	6	4272	76	905414
2842	are	V	quite	R	9	4269	233	905257
2843	are	V	ready	J	12	4266	113	905377
2844	are	V	really	R	7	4271	244	905246
2845	are	V	relatively	R	7	4271	69	905421
2846	are	V	reported	G	5	4273	57	905433
2847	are	V	required	G	16	4262	135	905355
2848	are	V	scheduled	G	6	4272	29	905461
2849	are	V	separated	G	5	4273	28	905462
2850	are	V	set	G	8	4270	145	905345
2851	are	V	several	J	8	4270	307	905183
2852	are	V	shown	G	8	4270	152	905338
2853	are	V	simply	R	10	4268	138	905352
2854	are	V	so	R	32	4246	1146	904344
2855	are	V	some	D	27	4251	1255	904235
2856	are	V	sometimes	R	9	4269	117	905373
2857	are	V	somewhat	R	5	4273	102	905388
2858	are	V	still	R	29	4249	629	904861
2859	are	V	subject	J	5	4273	30	905460
2860	are	V	such	J	5	4273	812	904678
2861	are	V	taken	G	8	4270	266	905224
2862	are	V	taking	G	11	4267	120	905370
2863	are	V	that	I	9	4269	6131	899359
2864	are	V	the	D	174	4104	58170	847320
2865	are	V	there	R	7	4271	537	904953
2866	are	V	they	P	11	4267	2287	903203
2867	are	V	those	D	22	4256	707	904783
2868	are	V	three	C	9	4269	515	904975
2869	are	V	to	T	53	4225	24746	880744
2870	are	V	told	G	7	4271	102	905388
2871	are	V	too	R	13	4265	566	904924
2872	are	V	transformed	G	5	4273	15	905475
2873	are	V	trying	G	8	4270	114	905376
2874	are	V	two	C	20	4258	1183	904307
2875	are	V	ugly	J	5	4273	16	905474
2876	are	V	unable	J	5	4273	46	905444
2877	are	V	under	I	8	4270	568	904922
2878	are	V	used	G	49	4229	409	905081
2879	are	V	usually	R	12	4266	136	905354
2880	are	V	very	R	24	4254	580	904910
2881	are	V	we	P	19	4259	1588	903902
2882	are	V	welcome	J	5	4273	15	905475
2883	are	V	well	R	13	4265	681	904809
2884	are	V	willing	J	8	4270	59	905431
2885	are	V	written	G	5	4273	131	905359
2886	are	V	you	P	66	4212	2583	902907
2887	area	N	.	.	47	245	45426	864050
2888	area	N	and	C	10	282	20571	888905
2889	area	N	are	V	5	287	4089	905387
2890	area	N	for	I	6	286	8005	901471
2891	area	N	in	I	14	278	17973	891503
2892	area	N	is	V	7	285	9407	900069
2893	area	N	may	M	6	286	1225	908251
2894	area	N	of	I	48	244	35451	874025
2895	area	N	or	C	5	287	3133	906343
2896	area	N	to	T	7	285	24792	884684
2897	area	N	where	W	6	286	599	908877
2898	areas	N	.	.	41	155	45432	864140
2899	areas	N	and	C	8	188	20573	888999
2900	areas	N	are	V	7	189	4087	905485
2901	areas	N	in	I	10	186	17977	891595
2902	areas	N	of	I	48	148	35451	874121
2903	areas	N	that	W	5	191	1569	908003
2904	areas	N	to	T	5	191	24794	884778
2905	areas	N	where	W	9	187	596	908976
2906	argue	V	that	I	16	8	6124	903620
2907	argued	G	that	I	8	3	6132	903625
2908	argues	V	that	I	6	4	6134	903624
2909	argument	N	.	.	6	44	45467	864251
2910	argument	N	is	V	6	44	9408	900310
2911	arise	V	from	I	8	15	4003	905742
2912	arm	N	.	.	18	62	45455	864233
2913	arm	N	and	C	11	69	20570	889118
2914	armed	G	with	I	13	6	6264	903485
2915	armed	Y	forces	Y	22	4	2	909740
2916	arms	N	.	.	15	88	45458	864207
2917	arms	N	and	C	14	89	20567	889098
2918	arms	N	around	I	5	98	414	909251
2919	army	N	.	.	6	48	45467	864247
2920	army	N	of	I	8	46	35491	874223
2921	army	Y	.	.	12	49	45461	864246
2922	arnold	Y	palmer	Y	6	13	43	909706
2923	around	I	.	.	15	371	45458	863924
2924	around	I	a	D	20	366	20218	889164
2925	around	I	her	P	14	372	1073	908309
2926	around	I	here	R	11	375	577	908805
2927	around	I	him	P	18	368	2593	906789
2928	around	I	in	I	7	379	17980	891402
2929	around	I	it	P	13	373	5858	903524
2930	around	I	me	P	5	381	1161	908221
2931	around	I	on	I	6	380	5789	903593
2932	around	I	the	D	142	244	58202	851180
2933	around	I	them	P	13	373	1763	907619
2934	around	I	to	T	9	377	24790	884592
2935	around	I	us	P	5	381	666	908716
2936	around	R	.	.	17	80	45456	864215
2937	around	R	and	C	19	78	20562	889109
2938	around	R	in	I	8	89	17979	891692
2939	around	R	to	T	10	87	24789	884882
2940	around	R	with	I	7	90	6270	903401
2941	arrangement	N	of	I	5	20	35494	874249
2942	arrangements	N	.	.	6	27	45467	864268
2943	arrangements	N	for	I	9	24	8002	901733
2944	array	N	of	I	9	1	35490	874268
2945	arrival	N	in	I	5	15	17982	891766
2946	arrive	V	at	I	10	12	4620	905126
2947	arrived	G	at	I	9	10	4621	905128
2948	arrived	V	at	I	10	29	4620	905109
2949	arrived	V	in	I	10	29	17977	891752
2950	arriving	G	at	I	7	8	4623	905130
2951	art	N	.	.	19	124	45454	864171
2952	art	N	and	C	8	135	20573	889052
2953	art	N	is	V	6	137	9408	900217
2954	art	N	of	I	29	114	35470	874155
2955	art	N	schools	N	6	137	177	909448
2956	artery-pulmonary	N	artery	N	5	0	41	909722
2957	artery	N	and	C	5	37	20576	889150
2958	article	N	2	C	10	47	287	909424
2959	article	N	in	I	8	49	17979	891732
2960	articles	N	on	I	5	20	5790	903953
2961	artists	N	.	.	5	29	45468	864266
2962	arts	N	.	.	7	27	45466	864268
2963	arts	N	and	C	7	27	20574	889160
2964	as	I	a	D	979	4906	19259	884624
2965	as	I	a[fj]	S	6	5879	961	902922
2966	as	I	against	I	9	5876	587	903296
2967	as	I	all	D	9	5876	1890	901993
2968	as	I	always	R	6	5879	416	903467
2969	as	I	an	D	210	5675	3082	900801
2970	as	I	another	D	10	5875	512	903371
2971	as	I	any	D	21	5864	1203	902680
2972	as	I	anyone	N	7	5878	122	903761
2973	as	I	are	V	13	5872	4081	899802
2974	as	I	at	I	7	5878	4623	899260
2975	as	I	before	I	7	5878	802	903081
2976	as	I	being	G	32	5853	555	903328
2977	as	I	between	I	6	5879	675	903208
2978	as	I	by	I	7	5878	4761	899122
2979	as	I	can	M	8	5877	1884	901999
2980	as	I	compared	G	12	5873	35	903848
2981	as	I	described	G	15	5870	75	903808
2982	as	I	determined	G	5	5880	98	903785
2983	as	I	did	V	11	5874	1312	902571
2984	as	I	do	V	10	5875	1551	902332
2985	as	I	ever	R	6	5879	320	903563
2986	as	I	evidence	N	10	5875	187	903696
2987	as	I	expressed	G	6	5879	37	903846
2988	as	I	far	R	10	5875	350	903533
2989	as	I	follows	V	27	5858	47	903836
2990	as	I	for	I	45	5840	7966	895917
2991	as	I	had	V	5	5880	4839	899044
2992	as	I	has	V	9	5876	2239	901644
2993	as	I	having	G	7	5878	194	903689
2994	as	I	he	P	276	5609	4735	899148
2995	as	I	head	N	6	5879	195	903688
2996	as	I	hell	N	5	5880	64	903819
2997	as	I	high	J	5	5880	402	903481
2998	as	I	i	P	128	5757	2484	901399
2999	as	I	if	I	156	5729	898	902985
3000	as	I	in	I	92	5793	17895	885988
3001	as	I	indicated	G	9	5876	38	903845
3002	as	I	is	V	20	5865	9394	894489
3003	as	I	it	P	171	5714	5700	898183
3004	as	I	john	Y	5	5880	277	903606
3005	as	I	man	N	6	5879	1237	902646
3006	as	I	many	J	25	5860	808	903075
3007	as	I	may	M	14	5871	1217	902666
3008	as	I	mentioned	G	6	5879	51	903832
3009	as	I	most	J	6	5879	303	903580
3010	as	I	mr.	Y	11	5874	418	903465
3011	as	I	mrs.	Y	5	5880	297	903586
3012	as	I	much	J	17	5868	317	903566
3013	as	I	much	R	9	5876	506	903377
3014	as	I	no	D	8	5877	1348	902535
3015	as	I	not	R	7	5878	4336	899547
3016	as	I	of	I	12	5873	35487	868396
3017	as	I	on	I	5	5880	5790	898093
3018	as	I	one	C	25	5860	1980	901903
3019	as	I	one	N	23	5862	503	903380
3020	as	I	one	P	6	5879	118	903765
3021	as	I	only	R	5	5880	1159	902724
3022	as	I	opposed	G	5	5880	24	903859
3023	as	I	other	J	6	5879	1576	902307
3024	as	I	part	N	14	5871	421	903462
3025	as	I	possible	J	63	5822	303	903580
3026	as	I	president	N	6	5879	122	903761
3027	as	I	president	Y	6	5879	221	903662
3028	as	I	required	G	6	5879	145	903738
3029	as	I	s	N	5	5880	6	903877
3030	as	I	saying	G	11	5874	80	903803
3031	as	I	she	P	93	5792	1403	902480
3032	as	I	shown	G	26	5859	134	903749
3033	as	I	some	D	7	5878	1275	902608
3034	as	I	something	N	8	5877	373	903510
3035	as	I	such	J	16	5869	801	903082
3036	as	I	that	D	9	5876	1830	902053
3037	as	I	that	I	17	5868	6123	897760
3038	as	I	the	D	747	5138	57597	846286
3039	as	I	there	E	15	5870	958	902925
3040	as	I	these	D	15	5870	1133	902750
3041	as	I	they	P	161	5724	2137	901746
3042	as	I	things	N	6	5879	344	903539
3043	as	I	this	D	23	5862	3688	900195
3044	as	I	those	D	18	5867	711	903172
3045	as	I	though	I	69	5816	122	903761
3046	as	I	time	N	5	5880	1500	902383
3047	as	I	to	T	174	5711	24625	879258
3048	as	I	used	G	5	5880	453	903430
3049	as	I	usual	J	13	5872	69	903814
3050	as	I	was	V	19	5866	9320	894563
3051	as	I	we	P	81	5804	1526	902357
3052	as	I	well	R	21	5864	673	903210
3053	as	I	were	V	7	5878	3150	900733
3054	as	I	what	W	6	5879	1318	902565
3055	as	I	with	I	13	5872	6264	897619
3056	as	I	yet	R	5	5880	187	903696
3057	as	I	you	P	57	5828	2592	901291
3058	as	R	close	R	5	1071	81	908611
3059	as	R	early	R	12	1064	66	908626
3060	as	R	far	R	43	1033	317	908375
3061	as	R	fast	R	6	1070	46	908646
3062	as	R	good	J	16	1060	663	908029
3063	as	R	great	J	8	1068	569	908123
3064	as	R	high	J	8	1068	399	908293
3065	as	R	important	J	9	1067	347	908345
3066	as	R	large	J	8	1068	331	908361
3067	as	R	little	J	9	1067	573	908119
3068	as	R	long	J	14	1062	419	908273
3069	as	R	long	R	47	1029	177	908515
3070	as	R	many	J	25	1051	808	907884
3071	as	R	much	J	29	1047	305	908387
3072	as	R	much	R	43	1033	472	908220
3073	as	R	not	R	5	1071	4338	904354
3074	as	R	often	R	6	1070	322	908370
3075	as	R	old	J	5	1071	518	908174
3076	as	R	quickly	R	7	1069	77	908615
3077	as	R	soon	R	39	1037	131	908561
3078	as	R	usual	J	6	1070	76	908616
3079	as	R	well	R	286	790	408	908284
3080	as	R	yet	R	8	1068	184	908508
3081	ashamed	J	of	I	13	3	35486	874266
3082	asia	Y	and	C	7	21	20574	889166
3083	aside	R	.	.	6	52	45467	864243
3084	aside	R	for	I	5	53	8006	901704
3085	aside	R	from	I	15	43	3996	905714
3086	aside	R	the	D	8	50	58336	851374
3087	ask	V	for	I	13	99	7998	901658
3088	ask	V	her	P	5	107	1082	908574
3089	ask	V	him	P	8	104	2603	907053
3090	ask	V	questions	N	6	106	116	909540
3091	ask	V	the	D	12	100	58332	851324
3092	ask	V	you	P	6	106	2643	907013
3093	asked	G	.	.	6	68	45467	864227
3094	asked	G	for	I	11	63	8000	901694
3095	asked	G	to	T	17	57	24782	884912
3096	asked	V	.	.	61	210	45412	864085
3097	asked	V	for	I	17	254	7994	901503
3098	asked	V	her	P	13	258	1074	908423
3099	asked	V	him	P	27	244	2584	906913
3100	asked	V	if	I	7	264	1047	908450
3101	asked	V	me	P	14	257	1152	908345
3102	asked	V	the	D	18	253	58326	851171
3103	asked	V	to	T	8	263	24791	884706
3104	asking	G	for	I	17	39	7994	901718
3105	asking	G	him	P	8	48	2603	907109
3106	asleep	R	.	.	7	12	45466	864283
3107	aspect	N	of	I	36	7	35463	874262
3108	aspects	N	of	I	46	10	35453	874259
3109	assemblies	Y	of	I	5	0	35494	874269
3110	assessment	N	of	I	10	13	35489	874256
3111	assign	V	a	D	5	12	20233	889518
3112	assigned	G	as	I	5	45	4722	904996
3113	assigned	G	to	T	22	28	24777	884941
3114	assignment	N	.	.	8	43	45465	864252
3115	assignment	N	of	I	16	35	35483	874234
3116	assist	V	in	I	8	11	17979	891770
3117	assistance	N	.	.	10	71	45463	864224
3118	assistance	N	in	I	11	70	17976	891711
3119	assistance	N	is	V	5	76	9409	900278
3120	assistance	N	of	I	10	71	35489	874198
3121	assistance	N	to	T	14	67	24785	884902
3122	associated	G	with	I	39	11	6238	903480
3123	association	N	.	.	5	35	45468	864260
3124	association	N	and	C	5	35	20576	889152
3125	association	N	of	I	5	35	35494	874234
3126	association	N	with	I	6	34	6271	903457
3127	association	Y	.	.	12	47	45461	864248
3128	association	Y	of	I	21	38	35478	874231
3129	assume	V	a	D	5	54	20233	889476
3130	assume	V	that	I	25	34	6115	903594
3131	assume	V	the	D	9	50	58335	851374
3132	assumed	G	in	I	7	34	17980	891747
3133	assumed	G	that	I	14	27	6126	903601
3134	assumed	G	the	D	5	36	58339	851388
3135	assumed	V	the	D	5	19	58339	851405
3136	assuming	G	the	D	5	12	58339	851412
3137	assumption	N	of	I	10	27	35489	874242
3138	assumption	N	that	I	12	25	6128	903603
3139	assurance	N	that	I	5	12	6135	903616
3140	assure	V	that	I	7	25	6133	903603
3141	assure	V	the	D	5	27	58339	851397
3142	assure	V	you	P	7	25	2642	907094
3143	assured	V	him	P	6	10	2605	907147
3144	astronomy	N	.	.	9	7	45464	864288
3145	at	I	.	.	9	5021	45464	859274
3146	at	I	10	C	6	5024	130	904608
3147	at	I	100	C	10	5020	67	904671
3148	at	I	8	C	8	5022	82	904656
3149	at	I	a	D	264	4766	19974	884764
3150	at	I	a[fj]	S	19	5011	948	903790
3151	at	I	about	I	14	5016	1636	903102
3152	at	I	all	D	178	4852	1721	903017
3153	at	I	all	R	5	5025	133	904605
3154	at	I	an	D	27	5003	3265	901473
3155	at	I	any	D	62	4968	1162	903576
3156	at	I	approximately	R	5	5025	47	904691
3157	at	I	being	G	5	5025	582	904156
3158	at	I	best	J	5	5025	222	904516
3159	at	I	best	R	6	5024	55	904683
3160	at	I	both	D	5	5025	494	904244
3161	at	I	carleton	Y	6	5024	22	904716
3162	at	I	court	N	5	5025	138	904600
3163	at	I	dawn	N	5	5025	20	904718
3164	at	I	different	J	6	5024	287	904451
3165	at	I	dinner	N	9	5021	76	904662
3166	at	I	each	D	22	5008	661	904077
3167	at	I	ease	N	5	5025	22	904716
3168	at	I	every	D	10	5020	401	904337
3169	at	I	first	J	56	4974	801	903937
3170	at	I	first	R	6	5024	214	904524
3171	at	I	five	C	5	5025	230	904508
3172	at	I	fort	Y	12	5018	29	904709
3173	at	I	hand	N	14	5016	295	904443
3174	at	I	harvard	Y	11	5019	21	904717
3175	at	I	headquarters	N	6	5024	45	904693
3176	at	I	her	P	39	4991	1048	903690
3177	at	I	high	J	6	5024	401	904337
3178	at	I	him	P	90	4940	2521	902217
3179	at	I	home	N	66	4964	383	904355
3180	at	I	intervals	N	6	5024	19	904719
3181	at	I	it	P	38	4992	5833	898905
3182	at	I	large	J	9	5021	330	904408
3183	at	I	last	J	42	4988	517	904221
3184	at	I	last	R	7	5023	9	904729
3185	at	I	least	J	279	4751	34	904704
3186	at	I	least	R	23	5007	5	904733
3187	at	I	length	N	5	5025	103	904635
3188	at	I	low	J	9	5021	130	904608
3189	at	I	lower	J	5	5025	104	904634
3190	at	I	many	J	5	5025	828	903910
3191	at	I	maturity	N	6	5024	31	904707
3192	at	I	me	P	26	5004	1140	903598
3193	at	I	midnight	N	7	5023	15	904723
3194	at	I	mr.	Y	5	5025	424	904314
3195	at	I	new	Y	7	5023	462	904276
3196	at	I	night	N	46	4984	361	904377
3197	at	I	nine	C	5	5025	67	904671
3198	at	I	no	D	8	5022	1348	903390
3199	at	I	noon	N	8	5022	15	904723
3200	at	I	once	R	73	4957	264	904474
3201	at	I	one	C	49	4981	1956	902782
3202	at	I	onset	N	7	5023	29	904709
3203	at	I	oxford	Y	5	5025	13	904725
3204	at	I	present	N	10	5020	30	904708
3205	at	I	present	R	7	5023	18	904720
3206	at	I	room	N	9	5021	324	904414
3207	at	I	ryusenji	Y	5	5025	3	904735
3208	at	I	san	Y	5	5025	53	904685
3209	at	I	sea	N	7	5023	71	904667
3210	at	I	some	D	24	5006	1258	903480
3211	at	I	st.	Y	5	5025	131	904607
3212	at	I	stake	N	6	5024	12	904726
3213	at	I	such	D	5	5025	151	904587
3214	at	I	such	P	5	5025	82	904656
3215	at	I	that	D	59	4971	1780	902958
3216	at	I	the	D	1653	3377	56691	848047
3217	at	I	them	P	21	5009	1755	902983
3218	at	I	these	D	7	5023	1141	903597
3219	at	I	this	D	132	4898	3579	901159
3220	at	I	those	D	6	5024	723	904015
3221	at	I	three	C	7	5023	517	904221
3222	at	I	times	N	32	4998	221	904517
3223	at	I	trial	N	5	5025	118	904620
3224	at	I	two	C	8	5022	1195	903543
3225	at	I	us	P	8	5022	663	904075
3226	at	I	various	J	8	5022	179	904559
3227	at	I	westminster	Y	9	5021	12	904726
3228	at	I	what	W	13	5017	1311	903427
3229	at	I	which	W	39	4991	2727	902011
3230	at	I	work	N	14	5016	474	904264
3231	at	I	yalta	Y	6	5024	7	904731
3232	at	I	you	P	5	5025	2644	902094
3233	atlanta	Y	.	.	8	22	45465	864273
3234	atlanta	Y	campaign	N	5	25	70	909668
3235	atlantic	Y	community	N	7	32	205	909524
3236	atlantic	Y	nations	N	5	34	114	909615
3237	atmosphere	N	.	.	11	59	45462	864236
3238	atmosphere	N	in	I	5	65	17982	891716
3239	atmosphere	N	is	V	5	65	9409	900289
3240	atmosphere	N	of	I	15	55	35484	874214
3241	atmospheric	J	tests	N	5	4	51	909708
3242	atom	N	and	C	5	29	20576	889158
3243	atom	N	is	V	5	29	9409	900325
3244	atomic	J	energy	N	6	35	86	909641
3245	atoms	N	are	V	6	26	4088	905648
3246	atoms	N	in	I	7	25	17980	891756
3247	attached	G	to	T	17	5	24782	884964
3248	attack	N	.	.	18	50	45455	864245
3249	attack	N	on	I	17	51	5778	903922
3250	attack	V	the	D	7	14	58337	851410
3251	attacks	N	on	I	5	9	5790	903964
3252	attainment	N	of	I	8	1	35491	874268
3253	attempt	N	at	I	5	68	4625	905070
3254	attempt	N	to	T	51	22	24748	884947
3255	attempt	V	to	T	19	2	24780	884967
3256	attempted	V	to	T	17	4	24782	884965
3257	attempting	G	to	T	18	5	24781	884964
3258	attempts	N	to	T	16	11	24783	884958
3259	attempts	V	to	T	8	0	24791	884969
3260	attend	V	the	D	14	32	58330	851392
3261	attended	V	the	D	7	17	58337	851407
3262	attending	G	the	D	12	9	58332	851415
3263	attention	N	.	.	30	131	45443	864164
3264	attention	N	and	C	9	152	20572	889035
3265	attention	N	from	I	5	156	4006	905601
3266	attention	N	of	I	12	149	35487	874120
3267	attention	N	to	T	50	111	24749	884858
3268	attention	N	was	V	7	154	9332	900275
3269	attitude	N	.	.	7	90	45466	864205
3270	attitude	N	and	C	5	92	20576	889095
3271	attitude	N	is	V	6	91	9408	900263
3272	attitude	N	of	I	20	77	35479	874192
3273	attitude	N	toward	I	25	72	338	909333
3274	attitudes	N	.	.	5	31	45468	864264
3275	attitudes	N	and	C	8	28	20573	889159
3276	attitudes	N	of	I	8	28	35491	874241
3277	attorney	N	general	N	5	15	24	909724
3278	attorney	Y	general	Y	25	14	135	909594
3279	attracted	G	to	T	6	8	24793	884961
3280	attributable	J	to	T	7	0	24792	884969
3281	attributed	G	to	T	11	1	24788	884968
3282	audience	N	.	.	16	80	45457	864215
3283	audience	N	and	C	5	91	20576	889096
3284	audience	N	in	I	5	91	17982	891690
3285	audience	N	is	V	6	90	9408	900264
3286	audience	N	of	I	7	89	35492	874180
3287	audience	N	was	V	6	90	9333	900339
3288	aug.	Y	7	C	5	20	70	909673
3289	aug.	Y	9	C	5	20	46	909697
3290	auspices	N	of	I	6	0	35493	874269
3291	author	N	of	I	16	28	35483	874241
3292	authority	N	.	.	11	57	45462	864238
3293	authority	N	and	C	8	60	20573	889127
3294	authority	N	in	I	5	63	17982	891718
3295	authority	N	of	I	9	59	35490	874210
3296	authority	N	to	T	9	59	24790	884910
3297	authorize	V	the	D	5	0	58339	851424
3298	authorized	G	and	C	8	20	20573	889167
3299	authorized	G	by	I	7	21	4761	904979
3300	authorized	G	to	T	5	23	24794	884946
3301	automatic	J	leveling	N	5	32	11	909720
3302	availability	N	of	I	16	5	35483	874264
3303	available	J	.	.	21	193	45452	864102
3304	available	J	at	I	7	207	4623	904931
3305	available	J	for	I	35	179	7976	901578
3306	available	J	from	I	13	201	3998	905556
3307	available	J	in	I	21	193	17966	891588
3308	available	J	on	I	5	209	5790	903764
3309	available	J	to	T	32	182	24767	884787
3310	average	N	.	.	7	44	45466	864251
3311	average	N	of	I	16	35	35483	874234
3312	average	N	per	I	10	41	351	909366
3313	avoid	V	the	D	13	42	58331	851382
3314	avoidance	N	of	I	5	3	35494	874266
3315	award	N	.	.	5	24	45468	864271
3316	award	N	is	V	7	22	9407	900332
3317	award	N	of	I	5	24	35494	874245
3318	awarded	G	the	D	6	8	58338	851416
3319	aware	J	of	I	48	33	35451	874236
3320	aware	J	that	I	27	54	6113	903574
3321	awareness	N	of	I	19	11	35480	874258
3322	away	R	.	.	83	301	45390	863994
3323	away	R	a	D	5	379	20233	889151
3324	away	R	and	C	13	371	20568	888816
3325	away	R	as	I	5	379	4722	904662
3326	away	R	at	I	10	374	4620	904764
3327	away	R	by	I	6	378	4762	904622
3328	away	R	for	I	6	378	8005	901379
3329	away	R	from	I	130	254	3881	905503
3330	away	R	in	I	14	370	17973	891411
3331	away	R	the	D	13	371	58331	851053
3332	away	R	to	T	10	374	24789	884595
3333	away	R	with	I	20	364	6257	903127
3334	axis	N	of	I	15	14	35484	874255
3335	b.	Y	&	C	10	47	147	909564
3336	babe	Y	ruth	Y	7	0	18	909743
3337	baby	N	.	.	6	43	45467	864252
3338	baby	N	and	C	5	44	20576	889143
3339	back	J	door	N	5	28	295	909440
3340	back	J	seat	N	6	27	37	909698
3341	back	N	.	.	26	113	45447	864182
3342	back	N	and	C	8	131	20573	889056
3343	back	N	of	I	35	104	35464	874165
3344	back	N	to	T	7	132	24792	884837
3345	back	N	yard	N	6	133	27	909602
3346	back	R	.	.	54	619	45419	863676
3347	back	R	a	D	5	668	20233	888862
3348	back	R	and	C	48	625	20533	888562
3349	back	R	as	I	8	665	4719	904376
3350	back	R	at	I	24	649	4606	904489
3351	back	R	down	I	6	667	460	908635
3352	back	R	for	I	11	662	8000	901095
3353	back	R	from	I	18	655	3993	905102
3354	back	R	here	R	6	667	582	908513
3355	back	R	in	I	58	615	17929	891166
3356	back	R	into	I	37	636	1710	907385
3357	back	R	of	I	10	663	35489	873606
3358	back	R	on	I	25	648	5770	903325
3359	back	R	over	I	10	663	1003	908092
3360	back	R	the	D	18	655	58326	850769
3361	back	R	there	R	9	664	535	908560
3362	back	R	to	T	194	479	24605	884490
3363	back	R	toward	I	8	665	355	908740
3364	back	R	with	I	12	661	6265	902830
3365	backed	V	off	R	6	15	293	909454
3366	background	N	.	.	11	40	45462	864255
3367	background	N	and	C	7	44	20574	889143
3368	background	N	in	I	5	46	17982	891735
3369	background	N	of	I	10	41	35489	874228
3370	bacterial	J	diarrhea	N	7	7	0	909754
3371	bad	J	.	.	11	114	45462	864181
3372	bad	J	luck	N	5	120	33	909610
3373	bad	J	thing	N	5	120	324	909319
3374	bag	N	.	.	9	18	45464	864277
3375	balance	N	.	.	8	62	45465	864233
3376	balance	N	and	C	6	64	20575	889123
3377	balance	N	between	I	10	60	671	909027
3378	balance	N	of	I	19	51	35480	874218
3379	ball	N	.	.	10	82	45463	864213
3380	ball	N	and	C	6	86	20575	889101
3381	ball	N	club	N	5	87	75	909601
3382	ball	N	player	N	6	86	15	909661
3383	ballistic	J	missile	N	9	6	37	909716
3384	ballistic	J	missiles	N	5	10	22	909731
3385	band	N	of	I	15	22	35484	874247
3386	bang-jensen	Y	was	V	5	24	9334	900405
3387	bank	N	.	.	9	39	45464	864256
3388	bank	N	of	I	8	40	35491	874229
3389	bank	Y	of	I	12	12	35487	874257
3390	bar	N	.	.	16	41	45457	864254
3391	bar	N	and	C	7	50	20574	889137
3392	barbed	J	wire	N	8	1	33	909726
3393	barrel	N	of	I	5	16	35494	874253
3394	bars	N	.	.	8	23	45465	864272
3395	base	N	.	.	12	63	45461	864232
3396	base	N	for	I	6	69	8005	901688
3397	base	N	of	I	12	63	35487	874206
3398	based	G	on	I	82	34	5713	903939
3399	based	G	upon	I	17	99	420	909232
3400	basement	N	of	I	6	23	35493	874246
3401	bases	N	.	.	6	10	45467	864285
3402	basic	J	wage	N	17	130	32	909589
3403	basis	N	.	.	37	127	45436	864168
3404	basis	N	for	I	24	140	7987	901617
3405	basis	N	in	I	7	157	17980	891624
3406	basis	N	of	I	64	100	35435	874169
3407	basket	N	.	.	5	9	45468	864286
3408	bath	N	.	.	7	11	45466	864284
3409	bathed	G	in	I	5	1	17982	891780
3410	bathroom	N	.	.	6	6	45467	864289
3411	baton	Y	rouge	Y	5	0	0	909763
3412	battery	N	of	I	6	7	35493	874262
3413	battle	N	.	.	7	62	45466	864233
3414	battle	N	cry	N	7	62	23	909676
3415	battle	N	for	I	6	63	8005	901694
3416	battle	N	in	I	5	64	17982	891717
3417	battle	N	of	I	8	61	35491	874208
3418	battle	Y	of	I	8	0	35491	874269
3419	bay	Y	.	.	7	23	45466	864272
3420	bay	Y	company	Y	6	24	70	909668
3421	be	V	.	.	52	6157	45421	858138
3422	be	V	?	.	8	6201	1411	902148
3423	be	V	a	D	319	5890	19919	883640
3424	be	V	able	J	70	6139	144	903415
3425	be	V	about	I	6	6203	1644	901915
3426	be	V	accepted	G	8	6201	56	903503
3427	be	V	accomplished	G	12	6197	26	903533
3428	be	V	achieved	G	7	6202	42	903517
3429	be	V	added	G	13	6196	70	903489
3430	be	V	adjusted	G	5	6204	10	903549
3431	be	V	admitted	G	5	6204	11	903548
3432	be	V	affected	G	7	6202	26	903533
3433	be	V	affixed	G	7	6202	6	903553
3434	be	V	afraid	J	8	6201	40	903519
3435	be	V	all	R	9	6200	129	903430
3436	be	V	allowed	G	15	6194	51	903508
3437	be	V	almost	R	5	6204	339	903220
3438	be	V	alone	R	5	6204	173	903386
3439	be	V	an	D	68	6141	3224	900335
3440	be	V	answered	G	5	6204	16	903543
3441	be	V	any	D	17	6192	1207	902352
3442	be	V	applied	G	24	6185	54	903505
3443	be	V	argued	G	6	6203	6	903553
