author_sex	past_tense	perfect_aspect	present_tense	place_adv	time_adv	pron_1st	pron_2nd	pron_3d	it	nominal	gerund	passives	there	that_compl	wh	inf	that_subj	that_obj	wh_subj	wh_obj	because	prep	adv	downtoners	hedges	discourse_part	modal	contract	phrase_coord	type_token	word_length
BLW	female	10.964	6.347	67.651	2.275	3.253	13.808	6.756	26.205	10.578	16.219	14.809	1.069	3.162	5.687	0.705	25.932	1.683	1.388	2.548	0.364	1.115	90.785	59.416	1.774	0.432	0.387	19.039	2.752	15.991	0.086	4.578
BLX	male	9.357	5.585	69.534	5.15	3.893	3.675	0.701	18.713	14.772	13.443	15.691	1.548	2.732	2.949	0.29	15.304	3.893	1.475	0.338	0.242	1.233	97.943	69.075	3.288	0.749	0.048	11.556	0.073	7.447	0.099	4.73
BM0	male	24.892	7.351	54.463	2.631	4.845	24.057	15.328	23.89	9.69	21.05	14.91	0.793	1.838	5.262	0.71	22.762	1.963	2.798	2.255	0.877	1.879	99.11	66.951	2.965	0.334	0.251	18.878	0.543	8.646	0.098	4.492
BM2	male	12.982	8.758	44.725	1.778	3.223	0.667	0.445	11.581	12.359	32.855	6.78	1.734	3.823	6.291	0.2	17.494	1.556	2.712	4.601	1.045	0.8	120.971	49.571	2.512	0.867	0.022	22.052	0.089	9.492	0.075	4.791
BM6	male	61.748	11.55	15.121	4.453	5.65	1.107	0.316	32.637	7.278	14.985	6.961	1.311	1.13	4.295	0.362	11.572	0.52	0.881	2.305	0.226	0.113	128.289	37.158	2.057	0.927	0.158	6.305	0.09	9.38	0.115	4.601
BM9	male	63.405	4.582	6.694	2.799	4.417	0.439	0.027	28.945	4.308	18.794	8.862	1.948	1.427	2.332	0.027	11.99	0.686	1.07	3.375	0.494	0.576	131.146	38.411	1.701	0.357	0.11	2.991	0.082	10.782	0.12	4.701
BMA	male	27.53	4.269	36.192	2.184	2.944	7.091	0.27	10.919	7.067	51.994	7.803	1.766	3.263	6.207	0.172	11.189	0.981	1.497	1.865	0.172	0.736	130.389	48.239	3.509	0.368	0.196	11.508	0.074	7.631	0.08	5.077
BMG	male	15.089	6.046	64.978	3.834	4.35	5.407	1.499	19.415	17.227	15.655	13.025	1.966	3.465	4.94	0.467	17.154	2.703	1.45	0.909	0.246	1.647	94.861	66.747	3.121	0.688	0.074	13.861	0.074	6.316	0.105	4.554
BMH	male	12.866	4.496	49.042	2.006	2.352	5.741	0.138	6.018	10.099	51.463	8.508	1.798	3.32	5.741	0.484	21.235	1.314	1.453	2.144	0.553	0.968	121.325	53.676	2.283	0.623	0.138	16.67	0.069	14.387	0.131	5.076
BML	male	7.413	3.995	61.428	1.108	2.748	9.353	1.917	13.856	8.221	26.765	12.309	1.062	2.656	4.018	0.508	17.204	2.91	0.947	1.178	0.323	0.693	96.298	40.367	1.778	0.208	0.162	12.331	1.339	12.078	0.104	4.821
BMM	male	77.533	12.449	23.952	4.386	5.053	54.742	6.02	18.427	11.331	9.353	10.708	0.603	2.838	6.687	0.366	14.728	0.688	1.484	1.29	0.344	1.075	90.95	59.322	1.548	0.452	0.71	8.107	6.859	5.289	0.089	4.263
BMN	male	81.431	7.161	23.825	5.865	5.638	14.39	9.093	43.421	6.093	6.661	12.39	0.636	2.273	2.728	0.546	12.64	0.023	0.546	2.205	0.546	0.227	81.045	52.924	2.296	0.796	0.614	9.707	1.319	9.048	0.091	4.486
BMR	male	68.235	11.706	26.812	4.885	4.885	46.916	8.735	28.681	12.202	11.189	13.305	0.541	1.756	4.097	0.653	15.173	0.788	1.081	1.441	0.585	0.563	86.718	68.393	2.206	0.698	0.946	11.032	15.759	6.484	0.125	4.336
BMS	female	57.453	10.429	49.121	5.003	4.176	61.629	16.038	30.118	16.017	2.905	13.798	0.323	2.34	0.908	0.545	11.136	0.545	0.242	0.444	0.081	0.706	68.165	67.197	1.957	1.19	1.654	13.295	40.366	5.063	0.076	3.857
BMT	male	26.094	7.498	43.532	4.242	2.96	9.2	2.787	12.48	7.892	19.706	13.96	1.726	2.491	4.661	0.321	13.96	0.592	0.962	2.516	0.666	0.617	118.214	49.747	1.85	0.222	0.148	11.642	0.518	11.173	0.108	4.78
BMU	female	71.421	12.724	34.512	3.533	6.204	24.48	13.144	51.273	12.366	5.973	8.013	0.715	2.524	3.47	0.694	12.829	0.589	1.009	1.115	0.273	1.241	66.395	67.467	1.956	0.547	1.619	13.797	21.83	4.353	0.083	4.151
BMV	male	48.245	6.794	20.634	3.02	5.239	5.582	0.023	22.487	9.219	19.833	4.529	1.51	2.379	4.415	0.275	13.062	0.092	1.327	2.814	0.572	0.32	125.063	48.794	2.288	0.709	0.206	7.755	0.206	12.079	0.1	4.653
BMW	female	71.801	13.764	27.194	4.338	5.839	18.206	12.804	60.477	13.847	7.111	13.013	0.501	2.085	1.71	0.563	15.641	1.251	0.688	1.564	0.438	0.563	80.873	70.216	2.961	1.189	1.356	12.617	15.036	4.922	0.09	4.206
BMX	male	89.285	11.4	20.706	7.668	5.666	10.08	5.779	52.515	13.698	6.212	9.079	0.614	4.278	2.662	0.842	11.946	1.524	0.501	1.456	0.478	1.092	87.374	66.736	2.207	0.501	0.751	10.672	6.553	7.145	0.071	4.152
BMY	male	13.227	5.225	59.412	3.748	2.425	18.606	1.764	21.56	7.495	21.715	12.544	1.587	2.337	3.373	0.838	12.389	0.529	1.08	2.05	0.794	0.441	102.202	66.268	2.69	0.595	0.132	10.891	0.309	13.382	0.095	4.749
BN2	male	61.221	8.462	5.297	5.202	3.212	0.911	0.072	16.54	6.784	30.826	7.718	1.079	1.87	5.585	0.024	17.163	2.397	1.606	1.342	0.336	0.935	122.154	46.215	3.404	0.839	0.168	6.521	0.144	14.694	0.114	4.965
BN3	male	58.445	7.275	26.009	2.865	4.061	37.668	7.623	28.002	6.726	11.834	9.193	1.121	1.146	1.794	0.249	12.232	0.025	0.424	1.594	0.399	0.125	92.302	54.086	1.769	0.847	0.872	11.584	5.481	8.445	0.123	4.264
BN4	female	10.275	7.965	60.231	4.067	3.297	4.067	1.973	5.029	6.449	26.349	10.853	1.756	2.094	4.524	0.12	14.486	1.853	0.481	2.358	0.193	0.89	110.21	46.683	1.853	0.12	0.265	11.623	1.083	13.524	0.115	4.929
BN5	female	24.97	6.742	56.111	2.457	4	23.941	6.685	13.599	8.628	12.742	11.314	1.6	1.371	3.029	0.457	14.056	0.686	0.743	2.057	0.686	1.086	93.937	59.597	3.028	0.571	0.286	12.342	4	11.999	0.131	4.502
BNB	male	52.846	9.027	7.429	5.939	7.04	2.937	0.648	23.907	3.347	12.504	10.561	1.577	0.518	1.879	0.065	16.694	0.41	0.734	1.296	0.518	0.151	119.169	49.672	2.548	0.518	0.432	5.874	0.389	7.386	0.112	4.708
BNC	male	74.971	9.578	25.673	3.459	5.214	17.718	4.682	58.157	14.872	3.272	7.077	0.426	1.676	2.368	0.665	9.604	0.133	0.559	0.186	0.133	0.186	54.352	53.687	3.272	1.304	0.665	13.143	16.202	4.257	0.084	3.959
BNL	female	5.486	3.688	73.502	4.302	2.686	5.714	44.183	8.263	8.969	16.367	14.227	0.865	3.278	3.756	0.159	19.417	2.8	1.502	1.366	0.25	1.434	91.325	59.707	1.616	0.228	0.273	22.671	0.25	10.699	0.091	4.471
BNM	female	26.623	2.919	32.24	1.504	1.548	3.494	1.106	7.651	5.528	41.88	10.437	2.255	2.653	5.484	0.973	19.68	1.415	0.884	2.742	0.177	1.017	112.949	53.467	3.051	0.31	0.044	11.41	0.265	10.57	0.09	5.38
BNN	male	71.846	5.752	8.865	2.775	5.053	2.053	0.451	29.573	5.797	19.941	11.527	1.579	3.113	3.316	0.293	18.881	0.451	0.812	4.015	0.632	0.564	117.954	48.566	1.624	0.316	0.293	5.392	0.519	6.474	0.117	4.785
BNU	female	72.87	10.248	16.526	9.406	6.322	13.842	2.396	36.446	12.311	5.058	20.142	0.51	2.906	2.64	0.355	10.825	1.752	1.109	0.555	0.266	0.51	102.307	67.436	2.462	1.043	0.444	6.211	7.964	11.291	0.089	4.312
BNW	male	4.867	3.367	54.45	2.159	1.866	5.196	0.073	6.806	7.099	40.142	9.441	1.281	3.037	6.88	0.293	14.93	0.256	1.573	3.696	0.659	1.464	122.256	38.861	1.647	0.073	0.329	18.991	0.073	8.782	0.077	4.847
BNY	male	10.361	6.136	69.274	5.652	3.902	10.173	11.115	15.717	12.811	13.16	12.461	1.938	5.221	4.71	0.377	19.942	1.292	1.184	0.7	0.35	0.7	91.692	70.135	2.18	0.727	0.161	22.714	1.696	7.859	0.085	4.463
BP0	female	68.485	14.677	30.61	3.476	5.192	15.619	13.525	46.439	10.05	6.888	8.773	0.628	2.408	2.575	0.754	12.374	1.298	0.649	1.089	0.314	0.733	79.896	47.067	1.717	0.272	0.9	15.41	9.066	6.302	0.091	4.284
BP1	female	80.6	16.329	21.811	4.011	5.886	15.973	11.511	76.114	11.463	7.975	10.894	0.499	2.824	1.851	0.831	18.679	0.309	0.878	2.231	0.617	0.498	80.576	58.029	1.994	0.665	0.783	13.623	20.815	3.299	0.089	4.152
BP4	male	43.956	6.138	30.562	3.453	3.421	5.818	3.804	28.708	6.394	18.638	13.427	1.407	1.247	3.932	0.224	12.659	1.854	1.247	2.206	0.511	0.224	111.282	46.098	1.886	0.224	0.288	7.289	2.973	6.617	0.178	4.694
BP7	male	79.145	13.101	27.544	4.335	5.207	14.514	11.781	57.374	11.263	8.27	11.428	0.589	2.663	3.393	0.613	13.548	0.518	1.249	1.367	0.306	0.613	81.925	61.403	2.38	1.885	0.942	9.614	17.318	2.992	0.085	4.199
BP8	female	38.923	7.671	55.458	4.404	4.091	31.28	15.114	39.917	11.109	9.972	14.774	0.568	2.046	2.018	0.795	14.944	0.767	1.051	1.534	0.142	1.108	87.477	61.225	1.534	0.455	1.449	9.773	21.422	6.904	0.115	4.24
BP9	male	73.512	10.31	24.802	5.367	5.166	36.074	7.716	32.764	8.812	8.543	14.358	0.515	2.706	2.617	0.671	10.578	0.514	0.559	1.252	0.291	0.581	86.349	62.285	2.236	0.872	0.783	11.763	15.387	5.971	0.088	4.321
BPA	male	82.408	8.742	15.562	7.85	4.577	6.751	3.021	47.303	14.44	9.062	20.184	0.641	2.517	2.174	0.32	9.84	2.288	0.732	0.275	0.069	0.16	87.58	65.085	2.861	0.755	0.275	7.941	8.879	4.669	0.097	4.499
BPD	male	77.39	8.377	36.032	3.939	6.269	22.302	12.427	47.71	16.061	7.767	10.624	0.416	3.384	2.163	0.416	11.733	0.777	0.499	0.305	0.111	0.361	59.249	75.504	1.942	1.248	1.664	11.816	27.517	4.022	0.076	4.091
BPH	male	60.633	7.621	9.667	1.79	3.324	1.944	1.56	36.927	7.979	22.734	13.502	0.87	1.355	2.992	0.205	19.896	0.537	0.614	4.015	1.944	0.384	118.351	39.74	2.097	0.537	0.128	11.789	0.742	7.723	0.12	4.687
BPK	female	46.889	8.386	32.036	3.519	5.301	3.199	0.937	20.223	11.014	12.225	11.951	1.988	2.993	1.942	0.663	16.178	0.548	0.754	2.354	0.411	0.206	109.316	46.912	1.828	0.343	0.274	7.197	0.983	9.094	0.112	4.484
C85	female	71.031	7.667	27.337	4.089	3.762	14.292	5.889	55.942	8.199	5.95	19.465	0.511	3.66	0.941	0.511	13.208	1.37	0.368	1.022	0.123	0.613	80.416	55.942	2.229	0.552	0.716	9.814	21.714	6.809	0.09	4.202
C86	male	91.682	10.381	19.947	6.326	5.86	9.391	10.536	63.741	15.697	5.142	9.178	0.213	2.736	1.63	0.757	9.508	1.513	0.582	0.388	0.078	0.543	79.322	60.578	2.348	1.688	0.718	8.402	20.335	4.327	0.072	4.095
C8D	female	62.318	10.43	33.655	4.71	5.478	24.074	13.381	42.024	9.419	9.541	8.914	0.829	2.527	3.396	0.505	12.937	0.182	0.546	1.375	0.182	0.424	77.418	62.581	2.264	0.667	1.051	11.097	19.041	3.921	0.099	4.43
C8E	male	78.229	8.938	24.703	5.043	5.453	44.198	10.804	41.226	9.635	7.483	13.94	0.328	2.665	1.968	0.82	14.125	0.431	0.513	1.148	0.226	1.148	83.395	58.18	1.763	0.615	0.697	10.169	19.742	8.467	0.096	4.189
C8F	male	14.764	7.595	45.168	2.899	2.09	0.944	0.09	5.393	6.741	35.527	13.977	2.022	3.573	4.247	0.27	15.236	1.933	1.281	1.303	0.202	0.697	125.975	49.145	2.18	0.225	0.157	12.561	0.202	10.696	0.091	5.11
C8L	male	27.169	7.639	57.548	2.812	4.827	24.202	4.716	17.493	10.429	18.622	13.795	0.398	2.613	4.34	0.465	22.807	1.484	1.107	2.037	0.576	0.996	107.59	50.529	1.107	0.509	0.221	13.993	2.414	8.215	0.082	4.429
C8M	male	21.536	4.593	40.167	5.062	4.734	1.547	0.328	8.249	6.913	18.49	11.249	2.203	1.43	2.555	0.234	10.311	0.141	0.703	3.492	0.492	0.539	122.985	50.244	3.023	0.656	0.141	9.069	0.234	8.788	0.12	4.929
C8N	male	27.988	7.404	69.303	2.912	3.801	21.077	25.766	22.064	10.168	8.441	11.6	0.593	2.221	5.825	1.431	21.916	1.58	3.357	2.32	0.543	2.419	82.432	65.008	1.135	0.938	1.974	13.722	12.883	6.466	0.107	4.18
C8P	male	9.424	3.063	88.225	3.822	3.209	8.432	18.409	15.229	11.407	5.952	10.97	0.671	2.042	2.13	0.379	19.401	0.642	0.671	1.634	0.438	0.175	87.408	56.249	1.021	0.292	0.408	12.37	2.334	6.652	0.083	4.082
C8R	male	14.987	6.043	45.31	2.618	4.254	0.72	0	7.046	14.638	46.51	9.293	2.05	2.858	4.145	0.087	17.496	0.044	1.723	1.963	1.156	0.371	125.545	51.527	2.749	0.502	0.175	14.397	0.065	6.392	0.082	4.854
C8S	female	76.64	10.928	24.6	3.755	6.403	16.801	10.928	58.9	11.048	9.074	6.932	0.674	1.637	1.974	0.481	10.447	0.746	0.409	0.65	0.361	0.313	77.579	67.926	1.637	0.794	1.468	11.024	12.781	4.453	0.099	4.367
C8T	female	63.623	15.954	28.632	3.489	5.871	17.124	8.572	56.136	14.911	12.572	11.678	0.66	2.638	5.297	0.872	14.358	0.213	0.915	1.68	0.936	0.489	84.214	60.56	3.318	1.085	1.17	14.018	17.932	5.722	0.103	4.376
C8V	male	15.777	5.403	79.699	1.753	3.77	22.14	4.322	22.068	14.6	23.365	9.557	1.945	2.713	4.562	0.768	15.969	0.792	1.345	3.89	0.768	1.849	99.87	58.52	3.722	0.504	0.072	15.873	1.057	7.996	0.088	4.496
C8X	male	34.545	5.885	42.477	3.327	4.35	15.353	11.515	25.077	9.468	8.188	16.121	0	1.024	1.024	0.256	9.468	1.024	0	1.024	0	0	97.748	51.945	1.791	0.768	0.256	7.421	4.094	6.653	0.36	4.571
C8Y	female	3.574	3.71	51.778	2.081	2.239	1.697	16.694	42.436	9.071	19.974	11.469	1.131	2.239	5.338	0.317	26.873	1.629	0.905	2.375	0.317	0.792	104.438	57.772	1.629	0.271	0.136	28.456	0.927	12.328	0.081	4.475
C90	female	56.36	6.413	13.48	1.942	3.816	3.748	1.264	31.747	8.784	29.219	11.042	1.4	2.123	4.99	0.203	17.725	0.181	2.19	3.635	1.197	0.61	128.548	47.666	2.416	0.61	0.09	9.868	0.452	5.193	0.113	4.911
C94	female	8.42	6.043	62.737	2.014	3.17	9.014	19.779	7.826	10.599	13.835	14.463	0.958	1.684	5.383	0.297	19.25	0.561	1.222	3.302	0.198	1.486	102.526	67.459	3.533	0.561	0.297	13.439	2.807	8.387	0.093	4.673
C98	female	78.622	11.603	25.41	3.577	6.155	11.125	5.968	67.601	7.902	7.34	12.643	0.666	2.433	4.866	0.915	13.932	0.374	1.06	1.851	0.499	0.25	83.363	62.423	2.204	0.665	1.248	12.185	17.384	5.739	0.084	4.239
C9A	male	32.044	7.077	35.385	2.945	6.434	3.439	0	11.754	6.533	19.573	12.793	1.311	2.128	5.592	0.47	11.803	2.276	1.163	1.361	0.247	1.41	110.435	62.727	2.623	0.47	0.148	13.09	0.099	10.121	0.114	5.087
C9B	male	9.887	3.397	68.068	0.437	0.841	8.643	0.404	26.467	15.705	35.245	8.239	1.144	1.85	8.509	0.235	19.337	1.412	2.59	2.59	0.673	0.807	126.551	32.352	1.951	0.101	0	16.479	0.202	11.737	0.089	4.662
C9D	male	63.214	9.574	7.613	2.768	5.076	0	0	11.189	1.961	21.225	8.421	1.73	1.269	1.73	0	9.228	0	0.346	3.461	0.115	0.346	149.96	28.377	2.307	0.577	0.115	1.038	0	12.689	0.178	4.874
C9R	female	11.389	3.933	74.406	2.442	3.177	10.524	23.059	11.324	10.46	19.32	13.636	0.843	2.831	2.723	0.519	14.933	0.562	0.454	2.853	0.454	1.124	83.44	56.102	2.528	0.735	0.583	20.207	5.208	9.206	0.098	4.575
C9U	male	52.219	8.314	32.905	3.18	4.193	14.391	3.674	33.753	9.139	10.905	11.376	0.848	1.602	2.944	0.306	15.946	1.107	1.413	1.366	0.4	1.531	95.793	50.829	2.214	0.777	0.306	6.76	8.126	7.066	0.13	4.526
C9W	female	39.909	14.133	41.984	2.379	6.638	17.286	9.569	42.343	11.92	16.096	10.51	0.968	2.766	7.938	0.83	26.744	0.194	2.24	3.983	0.774	2.019	93.868	67.235	2.406	0.249	0.443	19.305	0.304	7.108	0.076	4.458
C9Y	female	11.914	4.112	88.751	2.99	7.406	16.704	30.838	4.158	6.214	8.737	21.61	0.187	0.584	1.565	0.374	9.882	0.607	0.561	0.444	0.257	0.888	83.285	77.187	2.009	0.234	0.514	8.597	4.345	15.676	0.054	4.356
CA0	female	66.481	9.585	29.651	3.728	4.708	12.908	9.5	50.846	6.816	3.749	18.851	0.831	1.172	1.448	0.426	12.206	0.383	0.618	1.044	0.17	0.98	79.538	64.734	2.343	0.362	0.852	8.797	19.405	5.41	0.102	4.346
CA3	female	60.588	9.405	53.054	4.302	4.52	33.951	17.814	48.363	11.131	5.663	10.402	0.51	2.455	3.403	0.729	9.77	1.094	0.437	0.68	0.243	1.021	72.277	58.157	1.555	0.875	1.507	10.11	23.015	5.979	0.101	4.132
CA4	male	2.643	2.643	62.676	1.565	2.991	20.973	0	1.635	4.035	28.973	15.582	1.147	1.983	6.435	0.765	11.582	0.174	0.661	0.765	0.104	1.009	95.162	36.973	1.496	0	0.487	21.982	0.07	2.504	0.06	4.273
CA5	female	19.169	4.208	76.63	2.805	3.623	35.627	32.19	13.512	13.512	16.504	18.865	0.468	0.818	5.798	0.725	19.309	0.655	1.052	2.384	0.608	0.701	75.531	56.83	1.917	0.421	0.701	14.354	4.348	12.483	0.089	4.504
CA6	male	57.198	10.695	39.478	2.228	4.797	40.369	5.374	40.972	13.788	8.677	7.13	0.892	2.385	5.636	0.865	13.579	0.891	1.049	1.363	0.498	0.891	87.79	60.894	2.097	0.734	0.629	12.557	5.007	5.846	0.113	4.265
CA9	female	57.869	7.037	33.917	4.046	4.67	52.274	5.789	23.673	8.974	7.984	15.775	0.474	0.775	1.097	0.366	13.73	0.71	0.323	1.119	0.237	0.086	88.794	50.1	1.571	0.409	0.409	8.026	15.151	8.35	0.126	4.331
CAB	female	85.503	7.272	27.06	6.391	4.035	13.376	10.509	51.335	11.308	3.851	13.315	0.676	1.823	2.048	0.492	10.058	0.533	0.676	0.963	0.061	0.123	79.173	58.771	1.639	0.41	1.27	8.153	16.92	7.211	0.074	4.169
CAC	female	40.742	3.096	32.433	3.765	3.119	1.47	0.735	35.329	5.19	7.529	14.39	3.074	0.446	1.604	0.267	14.279	0.29	0.535	4.7	0.468	0.267	106.99	43.571	1.314	0.022	0	9.378	0.713	13.41	0.135	4.622
CAM	male	67.125	10.695	25.726	5.643	4.485	12.346	7.343	38.713	9.561	8.797	7.836	0.542	1.922	1.208	0.641	12.05	0.887	0.394	0.764	0.222	0.394	92.358	52.414	1.676	0.912	0.986	10.054	9.019	5.544	0.103	4.366
CAN	male	17.573	5.728	43.932	1.626	2.937	4.417	0.17	11.019	6.238	42.573	12.767	1.384	3.932	5.461	0.097	15.704	0.534	1.238	2.354	0.728	1.699	121.626	46.699	1.675	0.17	0.097	13.447	0.316	9.248	0.085	5.083
CAR	male	64.447	11.28	15.882	3.209	3.469	1.557	0.448	38.3	6.914	21.876	8.543	1.699	2.313	5.758	0.378	18.784	1.274	1.298	2.077	0.26	0.566	109.118	44.129	1.18	0.307	0.212	9.793	2.431	7.622	0.078	4.71
CAV	female	33.715	7.713	60.379	5.509	7.052	38.123	8.814	14.103	9.476	3.526	14.103	0.441	2.424	2.424	0.22	11.679	1.543	0.661	0.881	0.22	0	78.889	55.751	0.441	0.22	0.881	10.137	21.155	8.374	0.28	4.134
CAW	male	36.737	7.38	38.31	2.082	5.668	8.976	0.509	24.314	6.64	21.584	7.241	2.036	2.198	5.714	0.532	13.21	0.347	1.134	2.36	1.087	0.949	116.134	44.765	1.666	0.278	0.162	9.994	0.301	7.056	0.113	4.761
CAY	male	3.686	4.153	66.341	4.049	6.125	3.063	19.363	1.142	11.265	17.442	15.936	0.987	2.232	4.672	0.363	25.073	0.156	1.246	3.218	0.519	0.104	83.472	73.557	2.699	0.415	0.675	23.1	1.609	3.997	0.093	4.56
CB0	male	54.99	5.221	34.038	3.305	4.032	39.326	4.957	39.921	6.543	6.477	12.095	1.057	1.454	1.322	0.859	9.716	0.397	0.397	1.586	0.33	1.322	98.744	50.628	2.379	0.264	0.595	7.403	6.742	4.296	0.218	4.355
CB1	male	5.877	4.918	64.696	1.967	2.729	27.196	3.59	19.106	14.213	34.696	15.492	1.229	2.533	5.533	0.811	21.049	0.148	1.795	3.344	1.156	0.984	119.015	55.819	3.738	0.32	0.418	19.721	0.959	9.762	0.095	4.688
CB5	female	71.789	11.608	32.066	4.096	6.01	22.146	14.551	61.436	12.761	6.545	9.138	0.473	2.943	3.766	0.679	15.539	0.103	0.597	1.379	0.494	0.576	72.88	62.527	2.161	0.597	1.564	17.227	18.421	3.787	0.072	4.094
CB6	male	53.351	5.945	10.179	5.81	4.617	1.441	0.135	16.665	7.319	20.719	7.995	1.577	1.757	0.924	0.113	9.977	0.676	0.54	3.04	0.991	0.248	131.002	51.549	3.265	0.968	0.18	4.842	0.113	11.17	0.126	4.916
CB9	male	11.037	4.476	55.576	2.447	3.142	4.81	0.306	8.507	8.062	31.861	10.314	2.474	0.917	4.17	0.222	7.534	1.557	1.001	3.281	0.667	0.278	120.381	34.419	1.668	0.278	0.278	6.783	0.111	12.983	0.125	5.077
CBA	male	59.248	4.313	14.823	2.52	3.995	0.431	0.023	10.124	5.721	32.666	9.035	3.292	3.791	5.267	0.363	11.94	0.114	0.817	4.268	0.658	1.657	126.487	44.062	2.497	0.25	0	5.312	0.023	10.783	0.087	5.158
CBB	male	50.214	4.807	22.799	3.141	7.615	0.809	0	20.8	5.759	19.229	8.282	3.76	2.332	4.855	0.048	8.567	0.714	1.095	2.475	0.286	0.428	125.083	37.649	1.999	0.143	0.286	3.57	0.428	8.329	0.167	4.831
CBH	male	16.473	4.96	61.57	2.139	1.684	9.829	0.364	22.162	9.238	39.044	8.555	1.957	3.504	4.46	0.41	17.838	2.184	1.911	3.959	0.683	2.548	112.537	43.504	2.048	0.091	0.091	13.014	0.137	11.013	0.114	4.919
CBJ	male	45.253	11.386	11.726	3.812	6.531	4.54	0.51	30.516	5.608	12.187	8.279	0.753	2.233	2.088	0.146	13.013	0.097	0.777	2.039	0.558	0.437	117.089	54.332	3.302	0.68	0.51	11.241	0.923	8.376	0.119	4.596
CBK	male	60.592	4.515	5.156	5.133	5.271	0.252	0.046	9.992	5.729	19.342	8.708	2.337	3.644	2.36	0.092	12.169	0.115	0.435	1.146	0.321	0.435	122.353	36.873	2.063	0.252	0.298	4.606	0.115	7.035	0.082	4.733
CBL	male	2.071	0.391	49.627	4.298	1.485	0.078	0	2.696	10.316	35.169	8.05	1.446	0.625	0.156	0	4.963	0	0.039	2.11	0.117	0.313	86.241	52.714	4.494	0.742	0	13.911	0	12.153	0.08	5.218
CBN	male	69.329	9.763	19.042	3.156	5.66	6.628	1.536	67.204	10.268	14.497	14.329	0.926	1.368	2.967	0.379	17.232	0.884	1.031	1.788	0.484	0.61	102.216	60.66	2.735	0.379	0.61	9.825	2.714	7.364	0.113	4.401
CBP	male	2.096	2.906	67.318	2.215	3.192	1.501	20.319	4.669	8.385	18.199	13.078	2.001	2.096	2.025	0.405	22.511	0.214	0.572	4.836	0.381	0.977	109.242	57.766	1.596	0.429	0.476	18.104	1.286	6.741	0.08	4.612
CBR	male	3.376	4.704	67.659	0.923	2.498	11.411	0.72	11.772	10.309	40.582	10.376	1.756	2.453	5.267	0.788	18.907	0.878	1.643	4.682	1.283	0.923	128.452	46.456	1.666	0.405	0.45	17.804	0.383	9.746	0.073	5.074
CCA	female	67.855	10.118	31.204	4.387	4.175	21.581	13.444	34.812	13.585	6.651	14.01	0.425	2.901	4.599	1.344	14.788	0.071	0.92	2.052	0.495	0.708	79.318	68.917	2.476	0.566	2.335	13.231	17.689	5.024	0.123	4.283
CCB	male	21.258	5.969	37.083	1.975	4.187	7.107	2.341	14.473	8.138	20.635	9.319	1.804	2.598	2.513	0.107	10.092	0.752	0.923	1.439	0.752	0.73	109.038	49.945	2.963	0.773	0.193	12.411	0.537	12.111	0.134	4.786
CCC	male	67.823	10.877	12.321	2.678	6.032	2.842	1.071	30.022	10.854	27.646	6.405	1.142	1.467	8.804	0.256	16.164	0.303	2.329	2.772	0.815	0.582	114.056	37.126	1.607	0.279	0.116	8.991	0.279	8.035	0.101	4.862
CCD	female	52.06	9.254	37.681	2.324	5.582	32.307	17.367	43.906	9.151	10.478	9.379	0.788	1.681	3.361	0.373	11.474	0.56	0.954	1.058	0.311	0.27	80.819	54.716	1.784	0.29	0.83	17.159	3.341	5.001	0.077	4.363
CCE	male	26.865	7.657	52.082	2.404	3.695	18.54	2.114	14.133	10.127	28.222	6.811	1.024	2.827	5.875	0.579	14.044	2.248	2.025	1.224	0.445	1.758	106.39	50.435	3.005	0.267	0.289	9.704	0.556	13.644	0.109	4.695
CCK	male	53.328	7.943	10.422	3.857	3.352	2.342	1.033	30.899	6.313	22.773	9.32	1.308	0.803	3.902	0.459	18.044	0.115	1.699	2.571	0.666	0.574	126.489	49.609	2.755	0.803	0.207	8.723	0.551	8.815	0.126	4.962
CCL	male	14.452	5.962	56.185	1.979	3.172	10.088	2.337	20.914	7.464	30.978	10.588	1.43	2.003	4.007	0.644	19.102	0.382	1.455	3.816	0.906	1.097	115.088	39.158	1.383	0.215	0.238	12.997	0.405	10.207	0.109	4.87
CCM	female	67.517	14.474	29.739	3.365	4.2	18.471	14.723	48.346	13.503	6.232	9.055	0.362	3.545	4.132	1.039	16.823	0.835	1.016	1.31	0.181	0.835	77.024	61.556	1.987	0.971	1.558	16.551	22.762	4.539	0.072	4.017
CCN	female	14.133	4.758	56.293	2.391	3.172	15.6	3.693	26.821	11.387	21.211	14.275	0.995	2.58	3.977	0.473	16.76	1.799	1.278	1.988	0.592	0.426	103.567	51.89	1.752	0.45	0.095	19.648	0.852	12.736	0.103	4.53
CCR	male	45.198	5.488	16.834	3.946	3.268	3.083	0.432	8.078	7.214	40.666	7.924	1.819	1.264	3.422	0.092	12.887	1.48	1.418	1.418	0.247	1.202	128.873	36.165	2.004	0.092	0.277	6.259	0.031	11.192	0.115	5.183
CCS	male	57.919	6.725	7.034	9.043	4.509	0.438	0.283	23.858	1.649	14.866	16.257	1.263	2.293	0.901	0.283	10.976	0.85	0.49	1.366	0.515	0.618	116.353	42.872	2.087	0.361	0.155	6.776	0.258	4.895	0.117	4.805
