id	split.inf.S	adv.inf.S	superlative.S	past.S	wh.question.S
CBU	4	6	95	980	9
CBV	7	9	84	1127	7
CBW	3	6	90	1193	5
CBX	6	7	92	1116	15
CBY	3	7	81	1070	8
CC0	0	2	20	204	1
CC1	1	1	2	67	0
CC2	0	0	0	59	4
CC3	0	0	3	55	2
CC4	0	0	1	23	1
CC5	0	1	2	48	0
CC6	0	0	3	111	3
CC7	0	0	5	185	7
CC8	0	1	3	56	2
CC9	1	1	7	89	0
CCA	0	2	13	530	1
CCB	0	3	62	581	2
CCC	0	5	28	1618	3
CCD	3	9	12	1574	6
CCE	1	11	22	675	7
CCF	1	1	6	142	0
CCG	0	3	1	134	1
CCH	0	2	10	163	3
CCJ	0	1	4	141	3
CCK	1	5	58	1301	6
CCL	1	7	33	357	1
CCM	0	2	22	1876	12
CCN	1	2	30	305	5
CCP	1	5	46	632	3
CCR	2	8	25	853	0
CCS	0	4	19	1085	1
CCT	0	5	38	441	3
CCU	0	11	3	53	0
CCV	0	8	24	492	3
CCW	0	4	26	1615	2
CCX	3	3	51	145	13
CCY	2	4	36	174	11
CD0	1	1	13	42	8
CD2	0	6	18	1895	16
CD3	0	8	44	908	4
CD4	0	2	10	304	1
CD5	2	6	44	599	6
CD6	3	4	54	501	7
CD8	2	13	27	1409	4
CD9	0	5	52	1302	2
CDA	3	6	43	1985	6
CDB	0	8	24	1691	7
CDC	0	6	25	1153	2
CDD	0	8	16	914	1
CDE	0	7	23	1800	14
CDF	0	4	22	388	4
CDG	1	6	23	1793	1
CDH	0	0	7	68	2
CDJ	3	1	20	77	4
CDK	0	3	25	253	23
CDM	0	9	13	2289	3
CDN	0	11	22	1795	10
CDP	0	4	20	246	0
CDR	3	6	44	58	4
CDS	0	7	32	1158	5
CDT	1	6	33	278	3
CDU	0	9	27	1244	1
CDV	0	12	38	534	8
CDW	1	5	31	385	1
CDX	0	5	59	1952	34
CDY	0	1	27	2172	19
CE0	0	0	2	52	8
CE1	1	13	29	113	6
CE2	3	4	15	519	1
CE4	4	5	47	229	0
CE5	3	3	17	2078	22
CE6	0	1	4	55	4
CE7	1	6	40	1252	2
CE8	0	3	43	608	2
CE9	1	11	19	1554	6
CEB	0	3	17	1946	10
CEC	0	4	22	1813	7
CED	2	1	3	217	0
CEE	0	4	38	970	0
CEF	0	9	32	209	17
CEG	0	5	50	477	3
CEH	0	2	25	1875	27
CEJ	0	3	46	1082	20
CEK	2	8	185	2256	24
CEL	0	0	20	470	1
CEM	1	3	47	1557	2
CEN	4	9	129	4414	1
CEP	13	17	284	5038	7
CER	0	2	24	1002	6
CES	1	2	49	1599	6
CET	0	9	47	509	22
CEU	1	0	21	2510	25
CEV	0	0	2	107	5
CEW	0	4	34	856	0
CEX	0	5	24	2110	25
CEY	0	3	41	2213	44
CF4	3	7	29	1318	8
CF5	0	0	7	37	0
CF6	0	0	6	116	0
CF7	0	0	0	6	0
CF8	0	3	17	322	0
CF9	3	3	32	1033	0
CFA	0	1	0	37	0
CFB	2	3	28	707	1
CFC	2	7	34	1215	0
CFD	0	2	1	44	0
CFE	0	6	22	156	1
CFF	0	9	36	1254	3
CFG	0	2	4	178	0
CFH	0	1	13	431	1
CFJ	0	2	20	992	12
CFK	1	0	80	587	0
CFL	1	3	31	249	3
CFM	0	0	1	24	2
CFN	1	0	16	19	0
CFP	0	2	24	46	0
CFR	1	2	48	51	12
CFS	6	3	85	164	11
CFT	2	4	184	260	15
CFU	0	1	21	42	1
CFV	1	0	72	98	19
CFW	0	3	21	461	0
CFX	0	11	24	527	2
CFY	1	7	15	1358	10
CG0	0	7	17	1340	2
CG1	0	7	46	472	7
CG2	0	5	57	582	4
CG3	4	6	23	478	30
CG5	4	7	30	167	10
CG6	0	9	30	145	2
CG7	0	0	1	3	0
CG8	0	0	2	12	0
CG9	0	5	10	53	1
CGA	4	0	6	93	1
CGB	5	3	46	593	12
CGC	3	2	57	707	10
CGD	1	7	20	344	7
CGE	1	9	37	485	22
CGF	0	5	22	228	8
CGH	4	4	61	439	13
CGJ	3	2	17	849	0
CGL	1	5	35	1024	3
CGM	0	0	20	112	5
CGN	2	1	11	91	5
CGP	2	0	15	70	6
CGS	0	9	22	337	13
CGT	1	6	21	316	6
CGU	2	2	12	308	3
CGV	2	3	23	210	4
CGW	1	5	21	258	1
CGX	2	5	23	260	4
CGY	0	6	10	284	0
CH0	0	2	16	2168	5
CH1	4	12	192	3182	28
CH2	2	17	133	7121	15
CH3	7	7	147	3316	4
CH4	0	5	13	2189	22
CH5	4	7	117	1645	20
CH6	2	5	111	4986	8
CH7	6	4	131	2308	7
CH8	1	4	51	1320	6
CH9	0	1	6	326	3
CHA	5	5	96	1490	25
CHB	3	6	53	713	23
CHC	0	18	28	162	5
CHE	0	4	35	1297	5
CHF	0	5	51	267	0
CHG	0	5	35	1467	8
CHH	1	2	55	236	4
CHJ	0	4	32	181	1
CHK	2	3	39	184	0
CHL	1	15	31	318	1
CHP	0	0	26	303	0
CHR	0	0	7	417	74
CHS	1	7	24	381	6
CHT	1	12	22	131	5
CHU	2	6	27	1622	1
CHV	1	5	39	663	7
CHW	1	6	40	621	7
CJ1	5	6	34	154	1
CJ2	0	6	20	536	3
CJ3	0	5	64	190	1
CJ4	0	2	8	170	0
CJ5	0	0	5	132	0
CJ6	1	1	15	147	0
CJ7	0	0	12	159	0
CJ8	1	0	5	127	0
CJ9	1	1	26	122	39
CJA	0	1	21	2687	20
CJB	1	1	31	184	1
CJC	0	3	22	234	3
CJD	0	5	48	659	1
CJE	1	9	21	27	0
CJF	0	10	22	1775	13
CJG	0	11	19	79	4
CJH	0	10	76	235	0
CJJ	0	9	21	1722	15
CJK	0	0	65	194	0
CJM	0	1	3	82	0
CJN	0	0	7	69	0
CJP	0	5	15	403	0
CJR	0	1	11	356	0
CJS	1	4	8	295	0
CJT	0	1	21	1374	14
CJU	0	1	10	17	1
CJX	0	3	11	1650	14
CK0	0	2	31	1941	20
CK1	0	11	8	315	13
CK2	0	6	86	546	3
CK3	1	2	22	188	4
CK4	3	5	60	680	20
CK5	2	7	67	712	25
CK6	4	3	60	674	23
CK9	0	3	20	1347	13
CKA	4	8	37	636	5
CKB	0	6	17	2299	23
CKC	0	2	34	1177	24
CKD	1	3	21	1725	14
CKE	0	1	13	2411	11
CKF	0	5	20	1668	15
CKG	0	1	8	123	0
CKH	0	1	5	179	0
CKJ	0	1	4	97	0
CKK	1	0	9	136	0
CKL	0	0	33	547	1
CKM	1	2	39	375	0
CKN	0	6	32	697	3
CKP	0	7	49	669	0
CKR	0	7	50	1262	4
CKS	0	6	34	204	5
CKT	0	2	41	554	5
CKU	1	4	69	597	3
CKV	0	8	35	395	1
CKW	1	5	59	560	1
CKX	2	6	47	511	3
CKY	0	2	74	605	2
CL0	0	4	23	158	3
CL1	0	6	41	873	2
CL2	0	5	39	1783	3
CL4	0	1	6	116	0
CL5	0	1	8	161	1
CL6	0	10	27	716	2
CL7	1	12	38	540	2
CL8	0	1	6	95	0
CL9	0	0	6	77	0
CLA	0	0	1	85	0
CLB	0	1	8	40	0
CLC	0	1	2	63	0
CLD	0	4	32	2059	3
CLE	0	9	18	355	1
CLG	5	4	53	122	8
CLH	7	6	25	257	0
CLK	0	10	20	162	6
CLL	0	7	60	91	20
CLM	0	7	36	856	0
CLN	0	14	26	1002	1
CLP	4	10	31	103	1
CLR	0	15	30	1189	0
CLS	0	11	37	929	1
CLT	6	8	62	294	10
CLU	6	5	31	1060	0
CLV	1	3	27	1121	2
CLW	1	4	36	358	3
CLX	0	16	42	1423	1
CLY	0	7	32	629	6
CM0	2	11	72	710	10
CM1	1	2	65	1098	0
CM2	0	5	34	201	7
CM4	0	8	23	1938	23
CM5	1	6	12	795	18
CM6	0	12	58	1266	2
CM8	0	30	29	260	3
CM9	0	5	49	909	0
CMA	0	6	41	389	3
CMB	1	5	21	518	4
CMC	3	4	70	356	0
CMD	1	3	42	218	0
CME	0	2	41	342	0
CMF	0	6	26	403	9
CMG	0	5	16	1264	0
CMH	0	5	45	265	5
CMJ	0	3	15	1469	10
CMK	0	6	16	126	0
CML	0	5	27	2014	16
CMM	3	13	60	143	7
CMN	0	12	27	194	12
CMP	0	6	30	1913	10
CMR	0	11	25	146	5
CMS	0	5	37	408	3
CMT	2	6	50	278	2
CMU	0	15	23	407	2
CMW	2	0	5	71	1
CMX	1	0	8	107	0
CMY	1	0	7	92	1
CN0	1	2	3	48	0
CN1	6	2	79	432	6
CN2	0	8	43	641	1
CN3	0	2	19	2328	17
CN4	0	2	22	238	1
CN5	0	7	35	335	6
CN6	0	4	24	217	5
CN9	0	8	31	670	4
CNA	0	3	12	214	1
CNC	0	0	4	62	0
CND	0	1	4	69	0
CNE	0	0	3	66	0
CNF	0	2	4	105	0
CNG	0	0	8	112	0
CNH	0	1	1	80	0
CNJ	0	2	3	62	0
CNK	0	0	8	79	2
CNL	0	0	4	69	1
CNM	0	1	6	94	0
CNN	0	0	6	44	0
CNP	0	1	9	67	0
CNR	0	3	2	52	0
CNS	0	4	3	72	0
CNT	0	4	9	94	0
CNU	0	0	3	53	0
CNV	0	0	7	87	0
CNW	0	0	2	48	0
CNX	0	1	4	82	0
CNY	0	2	5	78	0
CP0	0	0	4	62	0
CP1	0	1	7	92	0
CP2	0	0	4	81	0
CP3	0	1	4	81	0
CP4	0	0	9	80	0
CP5	1	1	6	44	0
CP6	0	0	11	76	0
CP7	0	1	2	75	0
CP8	0	1	5	106	0
CP9	0	1	4	50	0
CPA	0	1	8	75	0
CPB	0	1	7	86	0
CPC	0	2	1	61	0
CPD	0	2	1	48	0
CPE	0	3	4	75	0
CPF	0	0	4	106	0
CPG	0	1	7	123	0
CPH	0	1	4	92	0
CPJ	0	2	0	52	1
CPK	0	0	2	79	0
CPL	0	0	4	65	0
CPM	0	0	9	96	0
CPN	0	0	19	170	0
CPP	0	0	5	79	0
CPR	0	2	7	90	2
CPS	0	2	10	107	0
CPT	1	0	6	96	1
CPU	0	0	3	76	0
CPV	0	1	5	88	0
CPW	0	4	6	101	0
CPX	0	0	3	53	1
CPY	0	2	4	86	0
CR0	0	3	3	84	0
CR1	0	0	3	43	0
CR2	0	2	1	67	0
CR3	0	0	9	67	0
CR4	0	1	19	349	4
CR5	1	3	12	276	2
CR6	0	5	23	2621	17
CR7	0	19	86	904	9
CR8	2	11	84	871	8
CR9	0	11	81	895	8
CRA	0	9	82	813	7
CRB	0	20	98	1072	13
CRC	1	9	117	1207	10
CRD	0	15	38	1112	0
CRE	1	6	28	2017	14
CRF	0	11	26	331	8
CRJ	0	8	53	678	3
CRK	0	17	43	1092	0
CRM	2	12	190	3134	11
CRP	0	1	15	195	0
CRR	5	12	36	866	0
CRS	1	6	28	921	1
CRT	0	6	42	720	2
CRU	0	6	23	602	6
CRV	0	6	27	215	4
CRW	0	5	38	373	4
CRX	1	10	47	540	0
CRY	0	13	54	1579	6
CS0	0	4	37	334	6
CS1	0	7	22	776	6
CS2	0	25	49	198	5
CS3	2	9	32	322	3
CS4	0	6	35	1529	9
CS5	0	11	43	1018	0
CS6	0	4	44	1059	0
CS7	2	5	21	798	1
CS8	1	0	4	48	0
CS9	0	0	4	40	0
CSA	1	0	10	87	0
CSB	3	0	3	67	0
CSC	1	0	9	83	0
CSD	0	0	6	60	0
CSE	1	0	10	79	0
CSF	1	0	7	64	0
CSG	2	0	0	63	0
CSH	1	0	3	43	0
CSJ	0	0	6	71	0
CSK	0	0	11	81	0
CSL	0	0	7	91	0
CSM	0	0	5	65	0
CSN	1	1	6	59	0
CSP	0	0	8	93	3
CSR	1	2	1	45	0
CSS	1	2	3	122	1
CST	0	0	8	90	1
CSU	1	0	6	95	0
CSV	0	0	8	115	0
CSW	0	1	2	86	0
CSX	0	1	10	75	1
CSY	0	1	2	82	0
CT0	0	0	9	78	1
CT1	2	0	10	57	0
CT2	2	2	7	67	0
CT3	0	0	5	97	0
CT4	0	1	5	86	0
CT5	2	1	4	75	0
CT6	1	1	8	62	0
CT7	1	0	9	72	0
CT8	0	0	9	66	0
CT9	0	0	7	71	1
CTA	2	0	7	68	0
CTB	2	1	4	59	0
CTC	0	1	6	78	0
CTD	3	1	7	79	0
CTE	2	0	5	46	0
CTF	0	1	6	41	0
CTG	0	0	6	56	0
CTH	3	2	10	88	0
CTJ	1	0	9	76	0
CTK	1	1	8	93	0
CTL	0	0	11	63	0
CTM	1	0	6	40	1
CTN	0	1	6	52	0
CTP	0	0	4	73	1
CTR	1	0	4	102	0
CTS	0	0	6	43	0
CTT	1	0	8	59	0
CTU	1	1	4	76	0
CTV	1	0	3	53	0
CTW	0	5	76	999	0
CTX	6	2	90	363	4
CTY	0	7	20	354	10
CU0	0	5	58	1058	4
CU1	0	7	53	1113	10
D8Y	0	0	4	249	0
D90	0	1	4	182	1
D91	7	1	3	151	8
D92	0	0	0	6	0
D94	0	0	0	3	0
D95	1	1	7	146	4
D96	0	0	0	11	0
D97	4	1	4	320	13
DCH	1	1	3	220	5
DCJ	0	1	2	98	0
DCK	0	1	0	72	1
E9N	0	1	4	183	0
E9P	2	5	24	600	0
E9R	1	2	16	498	0
E9S	0	2	19	353	2
E9T	0	7	16	480	2
E9U	1	3	9	522	2
E9V	0	10	33	1115	0
E9W	0	7	34	330	2
E9X	0	0	21	173	0
E9Y	0	4	23	261	0
EA0	0	8	36	730	5
EA1	1	3	21	550	4
EA2	1	4	36	657	2
EA3	2	3	5	243	0
EA4	1	3	15	312	3
EA5	0	4	17	1740	6
EA6	0	11	74	1402	2
EA7	0	6	24	723	0
EA8	1	12	60	341	2
EA9	0	2	19	81	4
EAA	0	7	43	75	8
EAJ	0	8	28	567	3
EAK	0	7	32	305	3
EAM	0	0	0	17	0
EAP	0	1	2	14	0
EAR	0	0	0	12	0
EAS	0	2	1	3	0
EAT	0	3	9	58	13
EAU	0	2	8	29	0
EAW	0	0	138	149	0
EAX	0	3	21	345	0
EAY	0	5	30	985	4
EB1	9	4	17	126	9
EB2	0	14	17	162	5
EB3	0	7	48	922	7
EB6	3	1	46	232	13
EB7	0	4	56	890	0
EB8	0	1	3	61	1
EB9	0	0	4	142	3
EBA	0	1	2	57	2
EBB	0	1	7	39	0
EBC	0	0	6	77	0
EBD	0	1	6	70	0
EBE	0	1	4	48	1
EBF	1	1	5	57	0
EBG	0	0	5	82	1
EBH	0	1	5	77	0
EBJ	0	1	7	52	0
EBK	0	1	7	52	0
EBL	0	0	0	4	1
EBM	0	7	13	239	3
EBN	0	0	29	20	1
EBP	0	4	28	1068	0
EBR	0	9	40	330	8
EBS	1	11	80	772	3
EBT	2	10	91	881	4
EBU	1	10	76	910	9
EBV	1	4	80	977	7
EBW	0	3	63	827	8
EBX	1	5	65	612	2
EBY	0	0	6	69	1
EC0	0	1	4	62	0
EC1	0	0	2	43	0
EC2	0	2	11	87	1
EC3	2	7	21	506	2
EC4	0	0	24	82	4
EC5	0	1	9	99	0
EC7	1	10	22	506	8
EC8	0	4	27	482	1
EC9	0	0	17	27	0
ECB	0	13	37	680	9
ECD	7	11	30	366	8
ECE	4	1	46	330	25
ECF	4	4	135	142	1
ECG	1	3	38	663	1
ECH	0	10	57	469	2
ECJ	1	5	53	155	8
ECK	0	2	34	1701	4
ECL	0	0	5	2	0
ECM	0	5	32	1628	0
ECN	3	11	37	438	4
ECR	0	3	30	205	0
ECS	0	2	34	91	0
ECT	4	4	79	1195	11
ECU	2	5	70	1360	22
ECV	0	15	19	217	6
ECX	4	4	32	520	6
ECY	0	3	33	480	5
ED0	0	0	11	15	0
ED1	0	0	31	37	0
ED2	0	3	35	278	0
ED3	2	5	64	394	9
ED4	0	5	78	662	4
ED5	0	2	26	807	4
ED6	2	9	153	967	1
ED7	4	10	113	1069	15
ED9	3	9	118	1508	8
EDA	0	15	35	1450	3
EDB	0	0	0	2	1
EDC	3	3	34	1026	1
EDD	0	7	26	310	4
EDE	0	9	40	924	3
EDF	0	10	34	1268	3
EDG	0	4	57	222	6
EDH	2	4	36	273	2
EDJ	0	1	14	1219	29
EDK	0	2	54	834	0
EDL	0	11	11	498	0
EDN	0	3	23	1913	11
EDP	0	7	43	1349	1
EDR	0	2	21	478	1
EDT	0	7	65	637	4
EDU	2	7	43	397	16
EDY	0	18	38	1065	14
EE0	3	1	30	48	5
EE1	1	2	21	455	0
EE2	0	12	38	1296	0
EE5	0	5	24	1429	0
EE6	1	0	4	182	0
EE7	0	2	3	22	1
EE8	6	7	30	224	2
EE9	0	8	43	1274	0
EEA	0	4	7	38	2
EEB	0	6	30	121	7
EEC	0	9	39	976	2
EED	1	2	2	197	0
EEE	0	6	36	1289	0
EEF	0	12	33	574	1
EEG	0	0	6	23	0
EEH	0	3	12	163	3
EEJ	0	0	18	25	0
EEK	0	6	33	229	4
EEL	0	6	10	378	2
EEM	0	8	26	1059	1
EEN	1	7	34	842	0
EER	2	2	28	218	6
EES	7	4	45	287	6
EET	2	1	56	41	0
EEV	0	2	5	216	0
EEW	0	1	24	1396	7
EEX	0	0	12	288	1
EEY	0	5	30	1004	1
EF0	1	22	22	409	7
EF1	0	5	14	2025	19
EF2	0	6	47	1008	0
EF3	0	3	7	565	0
EF4	1	24	24	615	0
EF5	0	1	23	165	4
EF6	0	5	28	758	0
EF8	0	7	11	437	9
EF9	0	0	0	66	3
EFA	0	11	32	785	4
EFC	0	0	42	134	1
EFD	6	5	17	574	28
EFE	0	0	7	6	3
EFF	0	7	75	698	8
EFG	1	4	32	559	18
EFH	4	7	24	410	3
EFJ	0	1	40	2278	7
EFN	0	8	63	1969	0
EFP	0	4	25	1095	4
EFR	0	7	88	492	4
EFS	0	2	7	192	3
EFT	0	11	31	606	4
EFU	0	2	50	599	6
EFV	0	8	47	1474	2
EFW	0	15	31	1504	6
EFX	0	18	34	1243	0
EG0	0	4	52	1106	9
EUR	0	2	18	34	3
EUS	0	3	35	115	14
EUU	1	12	36	1235	13
EUW	0	9	15	97	4
EUX	0	0	2	25	5
EUY	2	3	6	132	7
EV1	0	8	9	1745	27
EV3	1	11	12	698	0
EV4	0	10	39	349	11
EV5	2	9	16	275	2
EV6	4	5	34	50	0
EV8	0	5	16	263	1
EV9	0	7	16	213	2
EVA	1	9	38	688	4
EVB	0	2	18	84	2
EVC	0	4	19	1622	14
EVF	0	10	41	206	10
EVG	0	5	32	1956	7
EVH	2	5	35	831	5
EVJ	1	5	43	1093	5
EVK	0	8	19	370	5
EVM	0	10	16	36	70
EVN	0	12	27	1143	7
EVP	0	6	40	562	7
EVR	0	0	9	354	0
EVS	1	2	57	759	2
EVV	0	8	62	641	3
EVW	0	3	21	48	0
EVX	1	6	16	287	1
EVY	0	7	25	48	1
EW1	0	6	50	1160	0
EW4	0	4	26	267	7
EW5	0	5	128	92	30
EW6	0	6	17	418	5
EW7	0	9	31	399	2
EW8	0	2	16	152	5
EW9	0	16	27	1303	0
EWA	0	3	28	255	8
EWB	0	4	43	492	0
EWC	0	3	36	2028	34
EWF	0	0	0	70	0
EWG	0	10	52	1636	0
EWH	0	3	29	1387	9
EWM	0	0	2	178	0
EWR	2	16	41	586	0
EWS	0	0	5	240	0
EWW	0	3	29	65	2
EWX	0	5	14	232	0
EX0	1	4	85	169	0
EX1	0	0	43	516	0
EX2	0	6	18	79	5
EX4	0	0	2	33	0
EX5	1	4	53	127	24
EX6	0	6	36	68	3
EX7	0	0	6	160	3
EX8	0	0	8	29	0
F71	1	0	1	61	1
F72	0	0	7	283	9
F73	0	0	0	6	0
F74	0	0	0	8	0
F75	0	0	0	5	1
F76	0	0	0	2	0
F77	1	0	2	48	3
F78	0	0	0	0	0
F7A	3	3	6	157	3
F7C	1	1	3	202	11
F7E	2	0	1	45	3
F7F	3	2	1	104	6
F7G	0	0	4	48	3
F7J	7	1	3	85	5
F7K	0	0	0	19	1
F7L	1	0	2	55	3
F7M	0	0	2	38	2
F7N	0	0	0	40	4
F7R	0	0	3	98	9
F7S	0	0	1	2	1
F7T	0	1	7	83	8
F7U	2	0	13	119	10
F7V	3	4	7	163	4
F7W	1	0	0	65	1
F7X	0	0	0	54	1
F7Y	0	1	4	97	3
F81	1	0	4	318	7
F82	0	2	3	86	4
F84	1	2	1	16	0
F85	0	1	2	96	1
F86	1	2	3	51	0
F87	0	0	0	43	0
F88	5	1	1	72	2
F89	0	0	0	3	1
F8A	1	0	1	40	9
F8B	3	1	4	71	1
F8C	1	0	0	24	3
F8D	1	0	7	42	5
F8E	4	1	6	12	6
F8F	0	0	0	6	0
F8G	1	0	4	42	2
F8H	0	1	5	27	0
F8J	0	0	1	13	0
F8L	0	1	4	86	8
F8M	2	2	1	49	4
F8N	1	0	4	35	0
F8P	0	0	4	179	8
F8R	0	1	10	256	5
F8S	0	0	7	22	0
F8U	1	1	3	106	5
F98	0	0	11	47	1
F99	0	6	19	2241	21
F9A	1	1	39	227	1
F9B	0	3	30	413	1
F9C	0	7	23	2241	7
F9D	0	8	47	126	9
F9F	0	4	55	134	2
F9G	0	1	33	591	1
F9H	0	8	45	1502	3
F9J	0	5	27	351	3
F9K	0	7	42	205	12
F9L	0	9	9	1014	0
F9M	0	0	1	127	13
F9P	0	14	32	1501	0
F9R	0	2	20	1871	15
F9S	1	1	49	369	6
F9T	0	9	16	752	16
F9U	0	11	22	1426	2
F9V	0	8	16	242	6
F9W	1	5	33	297	21
F9X	0	10	16	2532	20
F9Y	0	18	34	1175	2
FA0	1	5	49	430	14
FA1	2	10	32	234	7
FA2	0	8	67	453	0
FA3	0	7	28	168	19
FA4	0	1	8	61	0
FA6	1	9	25	494	3
FA8	1	12	30	560	10
FA9	0	5	22	618	2
FAB	1	9	27	2565	33
FAC	0	13	33	233	2
FAD	0	3	38	275	0
FAE	0	8	52	523	1
FAF	0	7	63	382	3
FAG	0	7	84	1124	6
FAH	2	4	55	388	6
FAJ	0	3	18	675	23
FAK	0	11	35	227	0
FAM	0	5	32	565	4
FAN	0	3	28	2040	1
FAP	0	1	14	2385	41
FAS	0	1	2	284	15
FAT	0	8	23	2242	6
FAU	0	7	19	297	13
FAV	4	5	24	282	2
FAW	0	3	22	383	1
FAY	5	7	20	314	11
FB0	0	9	19	1558	18
FB1	0	11	81	1347	0
FB2	0	9	69	368	2
FB3	0	6	20	258	4
FB4	0	0	33	558	0
FB5	0	10	21	482	1
FB6	1	0	53	309	0
FB7	0	7	69	1201	4
FB8	1	4	26	304	1
FB9	1	5	28	1562	9
FBA	0	11	88	871	1
FBB	0	3	32	891	3
FBC	0	7	40	387	5
FBD	1	2	26	248	5
FBE	3	3	16	422	6
FBF	2	2	17	165	4
FBG	0	1	15	487	9
FBH	1	7	43	316	6
FBJ	0	2	7	580	1
FBK	1	1	16	512	3
FBL	1	11	83	1369	11
FBM	5	6	113	1663	14
FBN	9	13	85	424	11
FBP	0	7	29	208	2
FBR	2	2	18	289	0
FBS	0	0	0	71	0
FBT	0	0	7	126	0
FBU	0	0	0	71	0
FBV	1	1	3	210	1
FBW	0	6	3	126	0
FBX	0	0	3	113	0
FBY	0	0	0	106	0
FC0	0	1	0	28	0
FC1	0	2	0	44	0
FC2	0	1	0	79	0
FC3	0	0	0	36	0
FC4	0	7	0	39	0
FC5	0	1	6	163	0
FC6	0	4	0	146	0
FC7	0	0	0	41	0
FC8	0	0	0	26	0
FC9	0	0	0	39	0
FCA	0	0	1	89	0
FCB	0	2	1	116	0
FCC	0	3	0	140	1
FCD	0	0	0	47	2
FCE	0	4	5	171	0
FCF	0	1	1	68	0
FCG	0	0	0	49	0
FCH	0	1	0	87	0
FCJ	0	10	1	367	0
FCK	0	4	4	124	0
FCL	0	9	5	606	1
FCM	0	1	3	76	0
FCN	0	0	2	77	0
FCP	0	0	0	105	0
FCR	0	0	3	163	0
FCS	0	2	3	214	0
FCT	0	0	0	113	0
FCU	0	0	1	47	0
FCV	0	3	0	59	0
FCW	0	4	5	93	0
FCX	0	1	4	113	0
FCY	0	2	0	93	0
FD0	0	1	6	106	0
FD1	0	5	3	284	0
FD2	0	0	1	161	0
FD3	1	7	1	603	1
FD4	0	1	1	131	0
FD5	0	1	3	89	0
FD6	0	0	0	97	0
FD7	0	5	0	270	0
FD8	0	2	1	83	0
FD9	0	4	2	93	0
FDA	0	1	1	156	0
FDB	0	0	4	122	0
FDC	0	7	9	224	0
FDD	0	6	7	247	0
FDE	0	0	1	12	0
FDF	0	0	0	33	0
FDG	0	1	6	129	1
FDH	0	2	1	75	0
FDJ	0	2	1	86	0
FDK	0	2	1	85	0
FDL	0	0	4	134	0
FDM	0	1	0	68	0
FDN	0	0	1	81	0
FDP	0	1	1	125	0
FDR	0	8	5	90	0
FDS	0	0	0	79	0
FDT	0	0	3	114	0
FDU	0	0	1	90	0
FDV	0	4	10	248	0
FDW	0	0	2	143	0
FDX	0	0	0	59	0
FDY	1	2	0	63	0
FE0	0	0	1	71	0
FE1	0	2	3	248	0
FE2	0	5	2	357	0
FE3	0	1	4	180	1
FE5	0	11	26	713	1
FE6	2	9	49	147	0
FEB	1	7	44	200	2
FED	9	1	8	528	0
FEE	1	10	24	2152	27
FEF	0	2	15	77	19
FEH	1	5	30	171	8
FEJ	0	1	4	92	0
FEM	0	4	37	2129	5
FEP	0	8	54	1177	1
FES	0	12	25	1164	6
FET	0	7	8	1561	14
FEU	0	7	35	309	10
FEV	1	9	58	160	2
FEW	0	7	26	455	0
FEX	3	6	49	244	8
FF0	0	16	39	313	4
FL4	1	0	3	60	4
FL5	1	0	2	63	4
FL6	1	1	3	61	1
FL7	0	0	3	43	2
FL8	0	0	5	62	4
FL9	0	0	2	60	4
FLA	1	1	1	23	4
FLB	1	0	4	51	3
FLC	0	0	2	60	0
FLD	0	1	4	59	5
FLE	1	1	4	41	0
FLF	2	0	0	50	3
FLG	0	0	2	67	5
FLH	1	1	3	43	2
FLK	1	0	0	51	8
FLL	0	0	2	65	3
FLM	0	0	5	68	1
FLP	0	0	10	69	1
FLR	1	0	2	74	3
FLS	3	4	1	145	4
FLU	0	0	3	7	0
FLW	0	1	3	7	0
FLX	2	1	4	43	9
FLY	0	0	3	55	6
FM0	0	0	9	91	2
FM1	1	0	6	53	14
FM2	2	0	9	157	12
FM3	0	0	3	29	1
FM4	1	0	2	181	10
FM5	0	0	13	140	6
FM7	2	1	1	120	26
FM8	0	0	0	45	4
FM9	0	0	0	3	1
FMA	0	0	2	69	5
FMB	0	1	2	32	10
FMC	0	0	1	36	5
FMD	0	2	3	60	2
FME	0	0	2	95	5
FMF	0	0	2	33	2
FMG	0	0	13	107	23
FMH	0	0	1	75	4
FMJ	0	0	15	44	5
FMK	0	0	1	81	6
FML	0	1	5	74	4
FMM	1	1	3	71	19
FMN	2	0	4	91	1
FMP	1	1	7	127	2
FMR	0	0	3	71	11
FMS	1	1	4	84	7
FNR	0	2	36	119	0
FNS	0	0	5	455	4
FNT	0	8	18	2780	21
FNU	0	8	12	2240	10
FNW	0	0	12	1619	34
FNX	7	11	36	1689	4
FNY	0	0	17	730	3
FP0	0	5	13	2073	26
FP1	1	11	44	1601	13
FP2	0	14	33	134	0
FP3	1	6	34	1541	1
FP4	0	7	62	297	3
FP5	0	0	12	441	3
FP6	1	4	19	596	5
FP7	1	1	10	2361	17
FP8	0	6	23	273	9
FP9	2	4	58	721	0
FPB	0	9	40	1806	19
FPC	0	5	55	353	0
FPE	0	0	2	467	2
FPF	0	6	15	1993	41
FPG	1	3	37	118	15
FPH	1	10	25	2229	12
FPJ	4	3	34	684	5
FPK	0	8	24	1815	25
FPL	0	0	8	423	25
FPM	0	0	20	1638	31
FPN	0	7	50	1306	2
FPP	0	0	5	462	4
FPR	0	8	47	387	1
FPT	0	1	3	361	3
FPU	0	2	16	1370	4
FPV	0	0	32	751	8
FPW	0	3	57	374	1
FPX	4	9	16	1882	13
