id	title	n_words	n_tokens	n_w	n_c	n_s	audience_age	audience_sex	author_age	author_domicile	author_sex	author_type	availability	circulation	context	derived_type	difficulty	domain	genre	interaction_type	medium	mode	publication_date	publication_place	region	respondent_age	respondent_class	respondent_sex	sampling_type	text_type
C94	The complete F plan diet. Sample containing about 27304 words from a book (domain: social science)	26962	30285	27312	2973	1252	adult	female	unknown	UK	female	sole	cleared	high	---	misc_published	medium	social_science	W:misc	---	book	written	1985-1993	UK_south	---	---	---	---	beginning	written_books_periodicals
C95	Practical Fishkeeping. Sample containing about 50002 words from a periodical (domain: leisure)	49701	56351	50094	6257	3132	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	medium	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
C96	Practical Fishkeeping. Sample containing about 42073 words from a periodical (domain: leisure)	41848	47188	42215	4973	2487	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	medium	leisure	W:pop_lore	---	periodical	written	1985-1993	unknown	---	---	---	---	unknown	written_books_periodicals
C97	Practical Fishkeeping. Sample containing about 43388 words from a periodical (domain: leisure)	43149	48632	43487	5145	2628	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	medium	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
C98	Fields in the sun. Sample containing about 39655 words from a book (domain: imaginative)	40375	48091	40783	7308	2708	adult	female	45-59	UK	female	sole	cleared	high	---	fiction	medium	imaginative	W:fict:prose	---	book	written	1985-1993	UK_south	---	---	---	---	middle	written_books_periodicals
C9A	The fate of the dinosaurs: new perspectives in evolution. Sample containing about 36102 words from a book (domain: natural sciences)	35628	40413	36061	4352	1672	adult	mixed	unknown	unknown	male	sole	cleared	medium	---	prose	medium	natural_science	W:non_ac:nat_science	---	book	written	1985-1993	UK_south	---	---	---	---	beginning	written_books_periodicals
C9B	The philosophy of Gandhi. Sample containing about 26852 words from a book (domain: belief and thought)	26777	29735	27099	2636	1053	adult	mixed	unknown	UK	male	sole	cleared	medium	---	prose	high	belief_thought	W:non_ac:polit_law_edu	---	book	written	1985-1993	UK_south	---	---	---	---	beginning	written_books_periodicals
C9C	The Gardener. Sample containing about 14796 words from a periodical (domain: leisure)	14750	16830	14867	1963	877	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	medium	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
C9D	A history of the Geological Survey in Scotland. Sample containing about 7962 words from a book (domain: applied science)	7920	8669	7982	687	367	adult	mixed	unknown	unknown	male	sole	cleared	low	---	misc_published	high	applied_science	W:misc	---	book	written	1975-1984	unknown	---	---	---	---	unknown	written_books_periodicals
C9E	Golf Monthly. Sample containing about 29536 words from a periodical (domain: leisure)	29684	33608	29905	3703	1849	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	medium	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
C9F	Good Food. Sample containing about 37118 words from a periodical (domain: leisure)	36946	41896	37227	4669	2690	adult	female	unknown	unknown	unknown	multiple	cleared	high	---	misc_published	low	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
C9H	Guitarist. Sample containing about 38833 words from a periodical (domain: arts)	39378	46507	39714	6793	2286	adult	male	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	high	arts	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
C9J	Guitarist. Sample containing about 51278 words from a periodical (domain: arts)	51850	59315	52361	6936	2655	adult	male	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	high	arts	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
C9K	Guitarist. Sample containing about 56960 words from a periodical (domain: arts)	57762	66313	58317	7980	2887	adult	male	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	high	arts	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
C9L	Guitarist. Sample containing about 56801 words from a periodical (domain: arts)	57649	65950	58203	7727	2879	adult	male	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	high	arts	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
C9M	Guitarist. Sample containing about 57782 words from a periodical (domain: arts)	58533	68457	59042	9390	3210	adult	male	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	high	arts	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
C9N	Guitarist. Sample containing about 55638 words from a periodical (domain: arts)	56346	66131	56789	9342	3099	adult	male	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	high	arts	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
C9P	Hair Flair 1992. Sample containing about 13975 words from a periodical (domain: leisure)	14020	15601	14120	1481	1072	adult	female	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	low	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
C9R	Hearing loss? A guide to self-help. Sample containing about 39241 words from a book (domain: social science)	39155	46273	39626	6647	3000	adult	mixed	unknown	UK	female	sole	cleared	medium	---	prose	high	social_science	W:non_ac:medicine	---	book	written	1985-1993	UK_south	---	---	---	---	end	written_books_periodicals
C9S	High risk lives. Sample containing about 37907 words from a book (domain: world affairs)	37741	43112	38105	5007	1779	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	prose	high	world_affairs	W:non_ac:soc_science	---	book	written	1985-1993	UK_south	---	---	---	---	end	written_books_periodicals
C9U	Dustin Hoffman. Sample containing about 36291 words from a book (domain: arts)	36623	42456	36895	5561	1789	adult	mixed	unknown	UK	male	sole	cleared	high	---	prose	medium	arts	W:biography	---	book	written	1985-1993	UK_south	---	---	---	---	middle	written_books_periodicals
C9V	Homeopathy for everyone. Sample containing about 38166 words from a book (domain: applied science)	37717	42040	38136	3904	1571	adult	mixed	unknown	unknown	mixed	multiple	cleared	high	---	prose	medium	applied_science	W:non_ac:medicine	---	book	written	1985-1993	UK_south	---	---	---	---	end	written_books_periodicals
C9W	Hypnosis regression therapy. Sample containing about 33158 words from a book (domain: applied science)	32649	36157	33071	3086	1364	adult	mixed	unknown	UK	female	sole	cleared	medium	---	misc_published	medium	applied_science	W:misc	---	book	written	1985-1993	UK_south	---	---	---	---	whole	written_books_periodicals
C9X	Ideal Home. Sample containing about 31737 words from a periodical (domain: leisure)	31817	35995	32045	3950	2141	adult	female	unknown	unknown	unknown	multiple	cleared	high	---	misc_published	medium	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
C9Y	Rosemary Conley's inch loss plan. Sample containing about 36881 words from a book (domain: leisure)	36802	42805	37051	5754	3229	adult	female	35-44	unknown	female	sole	cleared	high	---	misc_published	low	leisure	W:misc	---	book	written	1985-1993	UK_south	---	---	---	---	beginning	written_books_periodicals
CA0	Polo. Sample containing about 37839 words from a book (domain: imaginative)	38779	46946	39048	7898	2773	adult	mixed	45-59	unknown	female	sole	cleared	high	---	fiction	medium	imaginative	W:fict:prose	---	book	written	1985-1993	UK_south	---	---	---	---	middle	written_books_periodicals
CA1	Kites. Sample containing about 39803 words from a book (domain: leisure)	39665	44992	40004	4988	1931	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	misc_published	medium	leisure	W:misc	---	book	written	1985-1993	UK_south	---	---	---	---	beginning	written_books_periodicals
CA2	Machine Knitting Monthly. Sample containing about 27305 words from a periodical (domain: leisure)	27139	30315	27433	2882	1420	adult	female	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	medium	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CA3	Lee's ghost. Sample containing about 32781 words from a book (domain: imaginative)	33517	41147	33864	7283	3145	child	mixed	unknown	UK	female	sole	cleared	medium	---	fiction	low	imaginative	W:fict:prose	---	book	written	1985-1993	UK_south	---	---	---	---	end	written_books_periodicals
CA4	Linear and nonlinear programming. Sample containing about 25105 words from a book (domain: natural sciences)	24325	28751	24602	4149	1272	adult	mixed	35-44	UK	male	sole	cleared	medium	---	academic	high	natural_science	W:ac:tech_engin	---	book	written	1985-1993	UK_south	---	---	---	---	middle	written_books_periodicals
CA5	Living magically. Sample containing about 35992 words from a book (domain: belief and thought)	35623	42777	35955	6822	2728	adult	mixed	unknown	unknown	female	sole	cleared	medium	---	prose	medium	belief_thought	W:non_ac:soc_science	---	book	written	1985-1993	UK_south	---	---	---	---	middle	written_books_periodicals
CA6	Elizabeth and Ivy. Sample containing about 32319 words from a book (domain: arts)	32278	38148	32563	5585	1829	adult	mixed	45-59	unknown	male	sole	cleared	medium	---	prose	medium	arts	W:biography	---	book	written	1985-1993	UK_south	---	---	---	---	whole	written_books_periodicals
CA7	Madeira: the complete guide. Sample containing about 39986 words from a book (domain: leisure)	39603	44528	39922	4606	1903	adult	mixed	unknown	Europe	mixed	multiple	cleared	medium	---	misc_published	medium	leisure	W:misc	---	book	written	1985-1993	UK_south	---	---	---	---	middle	written_books_periodicals
CA8	Malta: the hurricane years 1940-41. Sample containing about 31613 words from a book (domain: world affairs)	31556	36148	31744	4404	1792	adult	mixed	unknown	unknown	mixed	multiple	cleared	low	---	prose	medium	world_affairs	W:non_ac:humanities_arts	---	book	written	1985-1993	UK_south	---	---	---	---	middle	written_books_periodicals
CA9	A coward's chronicles. Sample containing about 39352 words from a book (domain: belief and thought)	39799	46467	40123	6344	2290	adult	mixed	45-59	unknown	female	sole	cleared	high	---	prose	medium	belief_thought	W:biography	---	book	written	1985-1993	UK_south	---	---	---	---	beginning	written_books_periodicals
CAA	New Millennium summer holidays. Sample containing about 6295 words of miscellanea (domain: leisure)	6261	6998	6318	680	392	adult	mixed	unknown	unknown	unknown	corporate	unclaimed	high	---	misc_published	low	leisure	W:advert	---	misc_published	written	1985-1993	unknown	---	---	---	---	unknown	written_misc
CAB	Goodnight Mister Tom. Sample containing about 38476 words from a book (domain: imaginative)	39254	48817	39594	9223	3781	child	mixed	25-34	unknown	female	sole	cleared	high	---	fiction	low	imaginative	W:fict:prose	---	book	written	1975-1984	UK_south	---	---	---	---	middle	written_books_periodicals
CAC	Myths, gods and fantasy: a sourcebook. Sample containing about 39533 words from a book (domain: belief and thought)	39588	44892	39795	5097	2320	adult	mixed	unknown	unknown	female	sole	cleared	low	---	prose	medium	belief_thought	W:non_ac:humanities_arts	---	book	written	1985-1993	UK_south	---	---	---	---	middle	written_books_periodicals
CAD	New Musical Express. Sample containing about 56047 words from a periodical (domain: arts)	57200	67187	57660	9527	3490	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	misc_published	medium	arts	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CAE	New Musical Express. Sample containing about 45968 words from a periodical (domain: arts)	46944	55050	47272	7778	2679	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	misc_published	medium	arts	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CAF	New Statesman and Society. Sample containing about 42673 words from a periodical (domain: world affairs)	42816	49698	43212	6486	2469	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	prose	high	world_affairs	W:non_ac:polit_law_edu	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CAG	New Statesman and Society. Sample containing about 47352 words from a periodical (domain: world affairs)	47451	54784	47956	6828	2411	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	prose	high	world_affairs	W:non_ac:polit_law_edu	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CAH	New Statesman and Society. Sample containing about 45228 words from a periodical (domain: world affairs)	45093	51961	45550	6411	2177	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	prose	high	world_affairs	W:non_ac:polit_law_edu	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CAJ	New Statesman and Society. Sample containing about 39911 words from a periodical (domain: world affairs)	39931	45786	40300	5486	1940	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	prose	high	world_affairs	W:non_ac:polit_law_edu	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CAK	New Statesman and Society. Sample containing about 31110 words from a periodical (domain: world affairs)	31165	35810	31423	4387	1554	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	prose	high	world_affairs	W:non_ac:polit_law_edu	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CAL	New Statesman and Society. Sample containing about 38400 words from a periodical (domain: world affairs)	38470	44180	38822	5358	1965	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	prose	high	world_affairs	W:non_ac:polit_law_edu	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CAM	The negotiator. Sample containing about 33695 words from a book (domain: imaginative)	33882	40581	34155	6426	2636	adult	mixed	unknown	unknown	male	sole	cleared	high	---	fiction	medium	imaginative	W:fict:prose	---	book	written	1985-1993	UK_south	---	---	---	---	middle	written_books_periodicals
CAN	New technology at work. Sample containing about 37085 words from a book (domain: commerce)	36763	41200	37198	4002	1362	adult	mixed	35-44	UK	male	sole	cleared	low	---	academic	medium	commerce_finance	W:ac:soc_science	---	book	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CAP	Nursing Times. Sample containing about 40460 words from a periodical (domain: applied science)	40361	45219	40724	4495	2267	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	high	applied_science	W:misc	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CAR	Orkney: a place of safety?. Sample containing about 37596 words from a book (domain: social science)	37669	42376	37952	4424	1843	adult	mixed	unknown	unknown	male	sole	cleared	medium	---	prose	medium	social_science	W:non_ac:soc_science	---	book	written	1985-1993	UK_north	---	---	---	---	beginning	written_books_periodicals
CAS	Punch. Sample containing about 19793 words from a periodical (domain: leisure)	20059	23399	20237	3162	1367	adult	mixed	unknown	unknown	unknown	multiple	cleared	unknown	---	misc_published	medium	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CAT	Punch. Sample containing about 19502 words from a periodical (domain: leisure)	19730	22789	19920	2868	1274	adult	mixed	unknown	unknown	unknown	multiple	cleared	unknown	---	misc_published	medium	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CAU	Pilot. Sample containing about 38175 words from a periodical (domain: leisure)	38036	42978	38381	4597	1857	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	medium	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CAV	Pink rock and postcards. Sample containing about 3812 words from a book (domain: imaginative)	3869	4538	3888	650	558	adult	mixed	unknown	UK	female	sole	cleared	low	---	fiction	medium	imaginative	W:fict:poetry	---	book	written	1975-1984	UK_north	---	---	---	---	whole	written_books_periodicals
CAW	A preface to Wordsworth. Sample containing about 37417 words from a book (domain: arts)	37245	43226	37600	5626	1454	adult	mixed	unknown	unknown	male	sole	cleared	high	---	academic	high	arts	W:ac:humanities_arts	---	book	written	1960-1974	UK_south	---	---	---	---	beginning	written_books_periodicals
CAX	Polly and the privet bird. Sample containing about 1070 words from a book (domain: imaginative)	1084	1292	1093	199	88	child	mixed	unknown	unknown	mixed	multiple	cleared	medium	---	fiction	low	imaginative	W:fict:prose	---	book	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CAY	Learning to fly radio controlled helicopters. Sample containing about 17234 words from a book (domain: leisure)	17073	19264	17248	2016	902	adult	mixed	unknown	unknown	male	sole	cleared	low	---	misc_published	low	leisure	W:misc	---	book	written	1985-1993	UK_south	---	---	---	---	whole	written_books_periodicals
CB0	Rich. Sample containing about 13079 words from a book (domain: imaginative)	13174	15130	13237	1893	1772	adult	mixed	unknown	unknown	male	sole	cleared	low	---	fiction	high	imaginative	W:fict:poetry	---	book	written	1985-1993	UK_south	---	---	---	---	whole	written_books_periodicals
CB1	Reason and spontaneity. Sample containing about 36247 words from a book (domain: belief and thought)	36021	40667	36520	4147	1099	adult	mixed	unknown	other	male	sole	cleared	medium	---	prose	high	belief_thought	W:non_ac:humanities_arts	---	book	written	1985-1993	UK_south	---	---	---	---	beginning	written_books_periodicals
CB2	Rugby World and Post. Sample containing about 35249 words from a periodical (domain: leisure)	35249	39551	35521	4030	1772	adult	male	unknown	unknown	unknown	multiple	unclaimed	medium	---	misc_published	medium	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CB3	Rugby World and Post. Sample containing about 33393 words from a periodical (domain: leisure)	33269	37540	33559	3981	1598	adult	male	unknown	unknown	unknown	multiple	unclaimed	medium	---	misc_published	medium	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CB4	Running. Sample containing about 29847 words from a periodical (domain: leisure)	30094	33735	30308	3427	1879	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	medium	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CB5	Ruth Appleby. Sample containing about 39092 words from a book (domain: imaginative)	39682	48587	40127	8460	3428	adult	female	unknown	unknown	female	sole	cleared	high	---	fiction	medium	imaginative	W:fict:prose	---	book	written	1985-1993	UK_south	---	---	---	---	middle	written_books_periodicals
CB6	A short history of Sussex. Sample containing about 39797 words from a book (domain: world affairs)	39707	44404	39978	4426	1482	adult	mixed	unknown	UK	male	sole	cleared	low	---	prose	medium	world_affairs	W:non_ac:humanities_arts	---	book	written	1975-1984	UK_south	---	---	---	---	middle	written_books_periodicals
CB8	She. Sample containing about 55275 words from a periodical (domain: leisure)	55680	64559	56157	8402	3402	adult	female	unknown	unknown	unknown	multiple	cleared	high	---	misc_published	medium	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CB9	The sign of the serpent. Sample containing about 31569 words from a book (domain: belief and thought)	31284	35969	31599	4370	1513	adult	mixed	unknown	unknown	male	sole	cleared	medium	---	prose	medium	belief_thought	W:non_ac:humanities_arts	---	book	written	1985-1993	UK_south	---	---	---	---	whole	written_books_periodicals
CBA	Crime, justice and society in colonial Sri Lanka. Sample containing about 39934 words from a book (domain: world affairs)	39602	44052	39993	4059	1894	adult	mixed	unknown	unknown	male	sole	cleared	low	---	prose	high	world_affairs	W:non_ac:humanities_arts	---	book	written	1985-1993	UK_south	---	---	---	---	beginning	written_books_periodicals
CBB	Stamford myths and legends. Sample containing about 18566 words from a book (domain: belief and thought)	18722	21010	18815	2195	813	adult	mixed	25-34	unknown	male	sole	cleared	low	---	prose	medium	belief_thought	W:non_ac:humanities_arts	---	book	written	1985-1993	UK_midlands	---	---	---	---	whole	written_books_periodicals
CBC	Today. Sample containing about 225006 words from a periodical (domain: social science)	226415	258276	228230	30046	15333	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	social_science	W:newsp:other:social	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CBD	Today. Sample containing about 21252 words from a periodical (domain: commerce)	21322	23781	21458	2323	1313	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	commerce_finance	W:newsp:other:commerce	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CBE	Today. Sample containing about 44644 words from a periodical (domain: world affairs)	45063	51406	45337	6069	2869	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:other:report	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CBF	Today. Sample containing about 226735 words from a periodical (domain: world affairs)	228575	261568	230090	31478	14503	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:other:report	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CBG	Today. Sample containing about 226415 words from a periodical (domain: leisure)	230385	259854	231846	28008	13060	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	leisure	W:newsp:other:sports	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CBH	Some psychic and political dimensions of work experiences. Sample containing about 19324 words of miscellanea (domain: social science)	19190	21975	19427	2548	896	adult	mixed	unknown	unknown	male	sole	cleared	low	---	prose	medium	social_science	W:non_ac:soc_science	---	misc_published	written	1975-1984	unknown	---	---	---	---	unknown	written_misc
CBJ	The Titford family 1547-1947. Sample containing about 35988 words from a book (domain: world affairs)	35798	41191	36099	5092	1203	adult	mixed	35-44	unknown	male	sole	cleared	medium	---	prose	medium	world_affairs	W:non_ac:soc_science	---	book	written	1985-1993	UK_south	---	---	---	---	middle	written_books_periodicals
CBK	The tramways of Croydon. Sample containing about 38980 words from a book (domain: leisure)	38711	43636	39018	4618	1892	adult	mixed	60+	unknown	male	sole	cleared	low	---	prose	low	leisure	W:non_ac:humanities_arts	---	book	written	1975-1984	UK_south	---	---	---	---	middle	written_books_periodicals
CBL	Popular tropical aquarium plants. Sample containing about 21219 words from a book (domain: leisure)	21023	25591	21216	4375	2761	adult	mixed	35-44	unknown	male	sole	cleared	low	---	misc_published	high	leisure	W:misc	---	book	written	1975-1984	UK_midlands	---	---	---	---	end	written_books_periodicals
CBM	Ulster Newsletter. Sample containing about 16128 words from a periodical (domain: world affairs)	16181	18398	16312	2086	834	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	newspaper	medium	world_affairs	W:newsp:other:report	---	periodical	written	1985-1993	UK_north	---	---	---	---	unknown	written_books_periodicals
CBN	Van Gogh: a life. Sample containing about 40918 words from a book (domain: arts)	40741	47527	41192	6335	2407	adult	mixed	60+	unknown	male	sole	cleared	medium	---	prose	medium	arts	W:biography	---	book	written	1985-1993	UK_south	---	---	---	---	middle	written_books_periodicals
CBP	The complete video course. Sample containing about 37969 words from a book (domain: leisure)	37545	41980	37980	4000	1614	adult	mixed	unknown	unknown	male	sole	cleared	high	---	misc_published	medium	leisure	W:misc	---	book	written	1985-1993	UK_south	---	---	---	---	beginning	written_books_periodicals
CBR	Aspects of language teaching. Sample containing about 40046 words from a book (domain: social science)	39555	44429	40163	4266	1828	adult	mixed	45-59	unknown	male	sole	cleared	medium	---	academic	high	social_science	W:ac:soc_science	---	book	written	1985-1993	UK_south	---	---	---	---	beginning	written_books_periodicals
CBT	Accountancy. Sample containing about 75073 words from a periodical (domain: commerce)	74910	84737	75725	9012	3551	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	prose	high	commerce_finance	W:commerce	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CBU	Accountancy. Sample containing about 102949 words from a periodical (domain: commerce)	102554	115972	103904	12068	5054	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	prose	high	commerce_finance	W:commerce	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CBV	Accountancy. Sample containing about 84834 words from a periodical (domain: commerce)	84604	95222	85540	9682	4027	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	prose	high	commerce_finance	W:commerce	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CBW	Accountancy. Sample containing about 86882 words from a periodical (domain: commerce)	86495	97932	87565	10367	4105	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	prose	high	commerce_finance	W:commerce	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CBX	Accountancy. Sample containing about 89198 words from a periodical (domain: commerce)	88926	100670	89930	10740	4316	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	prose	high	commerce_finance	W:commerce	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CBY	Accountancy. Sample containing about 91914 words from a periodical (domain: commerce)	91843	103846	92818	11028	4408	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	prose	high	commerce_finance	W:commerce	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CC0	The Artist's and Illustrator's Magazine. Sample containing about 19972 words from a periodical (domain: arts)	19967	22831	20112	2719	1211	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	medium	arts	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
CC1	[Queen's Park Baptist church magazines]. Sample containing about 4042 words of unpublished miscellanea (domain: belief and thought)	4026	4537	4053	484	271	adult	mixed	unknown	unknown	unknown	multiple	unclaimed	low	---	unpublished	low	belief_thought	W:misc	---	misc_unpublished	written	1985-1993	UK_north	---	---	---	---	unknown	written_misc
CC2	[Queen's Park Baptist church magazines]. Sample containing about 3002 words of unpublished miscellanea (domain: belief and thought)	2995	3309	3010	299	191	adult	mixed	unknown	unknown	unknown	multiple	unclaimed	low	---	unpublished	low	belief_thought	W:misc	---	misc_unpublished	written	1985-1993	UK_north	---	---	---	---	unknown	written_misc
CC3	[Queen's Park Baptist church magazines]. Sample containing about 4605 words of unpublished miscellanea (domain: belief and thought)	4615	5188	4648	540	293	adult	mixed	unknown	unknown	unknown	multiple	unclaimed	low	---	unpublished	low	belief_thought	W:misc	---	misc_unpublished	written	1985-1993	UK_north	---	---	---	---	unknown	written_misc
CC4	[Queen's Park Baptist church magazines]. Sample containing about 2119 words of unpublished miscellanea (domain: belief and thought)	2136	2410	2150	260	171	adult	mixed	unknown	unknown	unknown	multiple	unclaimed	low	---	unpublished	low	belief_thought	W:misc	---	misc_unpublished	written	1985-1993	UK_north	---	---	---	---	unknown	written_misc
CC5	[Queen's Park Baptist church magazines]. Sample containing about 3735 words of unpublished miscellanea (domain: belief and thought)	3742	4184	3776	408	281	adult	mixed	unknown	unknown	unknown	multiple	unclaimed	low	---	unpublished	low	belief_thought	W:misc	---	misc_unpublished	written	1985-1993	UK_north	---	---	---	---	unknown	written_misc
CC6	[Queen's Park Baptist church magazines]. Sample containing about 4090 words of unpublished miscellanea (domain: belief and thought)	4091	4595	4125	470	294	adult	mixed	unknown	unknown	unknown	multiple	unclaimed	low	---	unpublished	low	belief_thought	W:misc	---	misc_unpublished	written	1985-1993	UK_north	---	---	---	---	unknown	written_misc
CC7	[Queen's Park Baptist church magazines]. Sample containing about 6707 words of unpublished miscellanea (domain: belief and thought)	6719	7531	6750	781	477	adult	mixed	unknown	unknown	unknown	multiple	unclaimed	low	---	unpublished	low	belief_thought	W:misc	---	misc_unpublished	written	1985-1993	UK_north	---	---	---	---	unknown	written_misc
CC8	[Queen's Park Baptist church magazines]. Sample containing about 3551 words of unpublished miscellanea (domain: belief and thought)	3553	4002	3575	427	285	adult	mixed	unknown	unknown	unknown	multiple	unclaimed	low	---	unpublished	low	belief_thought	W:misc	---	misc_unpublished	written	1985-1993	UK_north	---	---	---	---	unknown	written_misc
CC9	[Queen's Park Baptist church magazines]. Sample containing about 7705 words of unpublished miscellanea (domain: belief and thought)	7692	8566	7749	817	558	adult	mixed	unknown	unknown	unknown	multiple	unclaimed	low	---	unpublished	low	belief_thought	W:misc	---	misc_unpublished	written	1985-1993	UK_north	---	---	---	---	unknown	written_misc
